pharmacy_name,fda_name,matched_tokens,pharmacy_outlets,pharmacy_regions,pharmacy_mmdas,fda_total_products,fda_drug_products,fda_food_products,combined_score
Ernest Chemists Limited,"Ernest Chemists Limited., Accra","chemists, ernest",60,8,16,111,1,110,19.4
East Cantonments Pharmacy,East Cantonments Pharmacy Limited No 1 Omega Drive Adabraka Accra,"cantonments, east",18,3,7,4,1,0,4.74
Rokmer Pharma Limited,Rokmer Pharma Limited,"pharma, rokmer",3,1,2,23,23,0,4.41
Care View Pharmacy Limited,Care View Pharmacy Limited,"care, view",6,1,4,8,8,0,4.28
Baseline Pharmaceuticals Limited,"Baseline Pharmaceuticals Limited. Opposite The Aayalolo Bus Terminal Near Cocoa House, Tudu","baseline, pharmaceuticals",8,7,7,5,5,0,3.94
Cedar Point Chemists Limited,Cedar Point Chemist,"cedar, point",3,1,2,15,15,0,3.84
Hem Pharma Services Limited,Novartis Pharma Services,"pharma, services",2,1,1,30,29,0,3.77
Senes Pharma Company. Limited,"Senes Pharma Co. Limited Michel Camp Road, Cam 2122 Tema/","pharma, senes",3,1,2,13,13,0,3.66
Tobinco Pharmaceuticals,"Tobinco Pharmaceuticals Limited - P. O. Box Gp 13808, Accra-North","pharmaceuticals, tobinco",2,2,2,25,24,0,3.58
Mokat Chemists Limited,Mokat Chemists Limited P. O. Box Ct,"chemists, mokat",2,1,1,24,0,0,3.54
Entrance Pharmaceuticals,Entrance Pharmaceuticals & Research Centre,"entrance, pharmaceuticals",1,1,1,109,102,0,3.26
Eskay Therapeutics Limited,Eskay Therapeutics Limited,"eskay, therapeutics",1,1,1,90,90,0,3.13
Centillion Pharma Limited,Centillion Pharma Limited,"centillion, pharma",1,1,1,79,79,0,3.04
Royal Dach Pharmacy,Royal Dach Pharmaceuticals,"dach, royal",2,1,1,13,13,0,2.9
Mal-Titi Chemists,Mal Titi Chemists Limited,"chemists, titi",2,1,1,12,12,0,2.82
Phyto-Riker,Phyto-Riker,"phyto, riker",1,1,1,57,54,0,2.81
Abyak Pharma Limited,Abyak Pharma Limited,"abyak, pharma",2,1,1,10,10,0,2.63
Queen Street Pharmacy Limited,"Exeter Pharmaceuticals, Queensgate House 48, Queen Street Exeter Devon Ex43Sr United Kingdom","queen, street",1,1,1,40,39,0,2.57
Trade Winds Chemist Limited,Trade Winds Chemist Limited,"trade, winds",1,1,1,38,37,0,2.54
Stereda Pharmaceuticals,Stereda Pharmaceuticals Limited,"pharmaceuticals, stereda",3,2,3,5,5,0,2.48
Dannex Ayrton Starwin Plc,Dannex Ayrton Starwin,"ayrton, dannex, starwin",1,1,1,33,32,0,2.44
Letap Pharmaceuticals,Letap Pharmaceuticals Limited,"letap, pharmaceuticals",1,1,1,32,31,0,2.42
Sna Pharma Services Limited,Novartis Pharma Services,"pharma, services",1,1,1,30,29,0,2.38
House Of Providence Pharma,"All Pharma Limited - P. O Box 1407 Reinzu House Off Mission Street Osu, Ghana","house, pharma",1,1,1,22,22,0,2.17
Supra Pharma Limited,Supra Pharma Limited,"pharma, supra",2,1,1,6,4,0,2.14
Yogi Pharmaceuticals Limited,Yogi Pharmaceuticals Limited - P. O. Box An 8324 Accra North Ghana,"pharmaceuticals, yogi",1,1,1,18,18,0,2.04
Intravenous Infusions Limited,Intravenous Infusions Limited,"infusions, intravenous",1,1,1,17,17,0,2.0
Yellow And Orange Pharmac,Yellow And Orange Pharmacy Limited,"orange, yellow",1,1,1,17,17,0,2.0
Good Example Pharmacy Limited,Good Example Pharmacy Limited,"example, good",2,1,2,5,5,0,1.97
Bediako Marketing Services,"Stedak Marketing Services., Accra","marketing, services",1,1,1,16,0,16,1.96
Asylum Down Pharmacy,"Renie Chemist Limited - 36, Odanata Street, Asylum Down, Accra","asylum, down",1,1,1,15,15,0,1.92
