client_clean,total_products,drug_products,food_products,countries_sourced,local_products,valid_products,import_pct,drug_pct
Ernest Chemist Limited,214,205,3,6,57,208,73.4,95.8
Ronak Exim Pvt Limited,185,185,0,1,0,185,100.0,100.0
"Rafimex Co. Limited., Accra",121,0,108,21,0,114,100.0,0.0
Pharmanova Limited No 3 Okodan Street Osu Manhean Accra,120,119,0,2,51,117,57.5,99.2
Unicom Chemist Limited,117,109,0,8,2,110,98.3,93.2
"Bliss Gvs Pharma Limited 102 Hyde Park Saki Vihar Road, Andheri",111,110,0,1,0,107,100.0,99.1
"Ernest Chemists Limited., Accra",111,1,110,8,0,111,100.0,0.9
Entrance Pharmaceuticals & Research Centre,109,102,0,2,41,102,62.4,93.6
Renie Chemist Limited,106,92,0,5,1,84,99.1,86.8
Gb Pharma Limited,93,83,0,2,0,88,100.0,89.2
"Melcom Gh. Limited., Accra",92,0,86,17,22,79,76.1,0.0
Eskay Therapeutics Limited,90,90,0,3,27,85,70.0,100.0
"Twellium Industrial Co. Limited., Nsawam, E/R",88,0,87,2,83,82,5.7,0.0
Centillion Pharma Limited,79,79,0,2,0,79,100.0,100.0
Costco Zion Investment Ghana Limited,78,0,78,1,0,10,100.0,0.0
Saagar Impex,76,0,76,2,0,76,100.0,0.0
Oa&J Pharmaceuticals Limited,75,75,0,2,42,75,44.0,100.0
Kinapharma Limited,75,70,0,3,40,67,46.7,93.3
"Sneda Shopping Center., Accra",74,0,73,3,0,74,100.0,0.0
"Ronak Exim Private Limited - Sant Kabir Road Behind Gendigate Police Station Baroda 390001 Gujarat, India",72,72,0,1,0,72,100.0,100.0
"Transmed Gh. Limited., Accra",68,0,65,14,0,66,100.0,0.0
"Africa Zone Trading Limited., Accra",67,0,66,13,0,64,100.0,0.0
Unicom Chemist Limited - Flour Mill Depot,67,67,0,3,0,66,100.0,100.0
M&G Pharmaceuticals,63,63,0,4,32,61,49.2,100.0
"Mac Sources Limited., Tudu",63,0,62,4,0,62,100.0,0.0
Pokupharma Limited,61,58,0,2,35,54,42.6,95.1
Denk Pharma Gmbh & Co Kg Prinzregentenstraße,57,57,0,2,0,53,100.0,100.0
Phyto-Riker,57,54,0,1,37,53,35.1,94.7
"Vegagen Uk Limited.The Litton Suite Sheepbridge Business Center Chesterfield S41.9Ed,Uk",56,56,0,2,0,46,100.0,100.0
Habmay Pharmacy Limited,55,54,0,2,0,55,100.0,98.2
"Ronak Exim Private Limited - Sant Kabir Road Gendi Gate Vadodara 390 001Gujarat, India",51,50,0,1,0,50,100.0,98.0
"Cave & Gardens Gh. Limited., Accra",50,0,47,14,0,47,100.0,0.0
"Lemonera Ghana Limited, Accra G/R",49,0,49,10,0,49,100.0,0.0
Letap Phramceuticals Limited,48,46,0,2,36,46,25.0,95.8
"Syycol Co. Limited., Accra",46,0,44,8,0,45,100.0,0.0
Mosam Mart Limited,45,0,45,1,0,45,100.0,0.0
"Msn Laboratories Private Limted, Msn House Plot No. C24, Industrial Estate Samathnagar Hyderabad 500 98 India",45,45,0,1,0,43,100.0,100.0
Add Pharma Ghana Limited,45,44,0,1,0,45,100.0,97.8
Gold Coast Matcom,45,0,45,11,1,38,97.8,0.0
Pharmatrust Limited,44,42,0,2,6,40,86.4,95.5
Aura Pharmaceuticals Limited,44,43,0,1,0,43,100.0,97.7
Softhealth Ghana Limited,43,42,0,1,0,43,100.0,97.7
