MMDA,top_company,outlets,region_clean,hhi,total_pharmacies,top_company_share
ABURA-ASEBU-KWAMANKESE,Agifel Pharmacy Limited,1,Central,5000.0,2,50.0
ADA EAST,Altramex Pharmacy Limited,1,Greater Accra,2000.0,5,20.0
ADA WEST,Godsed Pharmacy,1,Greater Accra,2000.0,5,20.0
ADANSI NORTH,Jaaf Pharmacy,1,Ashanti,1250.0,8,12.5
ADANSI SOUTH,Osu Pharma Limited,1,Ashanti,5000.0,2,50.0
ADENTAN,Third Gate Pharmacy,2,Greater Accra,57.51170860734307,203,1.0
AFADZATO-SOUTH,Nexto Pharmacy Limited,2,Volta,10000.0,2,100.0
AFIGYA-KWABRE,Amprapharma Company Limit,1,Ashanti,476.19047619047626,21,4.8
AGONA EAST,Classfam (Gh) Limited,1,Central,5000.0,2,50.0
AGONA WEST,Top Tier Pharmacy Limited,1,Central,833.3333333333333,12,8.3
AGOTIME ZIOPE,Dagbeneva Pharmacy Limited,1,Volta,5000.0,2,50.0
AHAFO-ANO NORTH,Agya Nti Pharmacy Limited,1,Ashanti,2500.0,4,25.0
AHAFO-ANO SOUTH,Kunsu Pharmacy,1,Ashanti,3333.3333333333326,3,33.3
AHANTA WEST,A & B Pharma Limited,1,Western,1428.5714285714284,7,14.3
AJUMAKO-ENYAN-ESSIAM,Aubin Pharmacy,1,Central,3333.3333333333326,3,33.3
AKATSI SOUTH,Adepharma Limited,1,Volta,3333.3333333333326,3,33.3
AKWAPIM NORTH,Elchris Pharmacy Limited,1,Eastern,1111.111111111111,9,11.1
AKWAPIM SOUTH,Khenis-B Royal Company Limited,1,Eastern,2500.0,4,25.0
AKYEMANSA,Sabdef Pharmacy Limited,1,Eastern,10000.0,1,100.0
AMA,Ernest Chemists Limited,22,Greater Accra,39.50464521887298,628,3.5
AMANSIE CENTRAL,Adams Pharmacy,1,Ashanti,2500.0,4,25.0
AMANSIE WEST,10 O'Clock Pharmacy,1,Ashanti,2500.0,4,25.0
AMENFI EAST,Martbil Pharmacy,1,Western,2500.0,4,25.0
AOWIN,Excora Pharmacy,1,Western,10000.0,1,100.0
ASANTE AKIM CENTRAL,77 Elixers Pharmacy,1,Ashanti,1666.6666666666665,6,16.7
ASANTE AKIM NORTH,77 Elixirs Pharmacy,1,Ashanti,1428.5714285714284,7,14.3
ASANTE-AKIM SOUTH,Benflo Pharmacy Limited,1,Ashanti,1666.6666666666665,6,16.7
ASHIAMAN,Ekuus Pharmacy Limited,4,Greater Accra,280.0,50,8.0
ASIKUMA-ODOBEN BRAKWA,Nkunim Pharmacy Limited,1,Central,5000.0,2,50.0
ASOKORE MAMPONG,Dekwart Pharmacy Limited,1,Ashanti,1666.6666666666665,6,16.7
ASSIN NORTH,Amarpharma Limited,2,Central,2800.0,5,40.0
ASSIN SOUTH,Assin Foso Pharmacy,1,Central,5000.0,2,50.0
ASUNAFO NORTH,Scab Pharmacy Limited,2,Brong Ahafo,1604.9382716049383,9,22.2
ASUNAFO SOUTH,Geomat Pharmacy (Kukuom B,1,Brong Ahafo,10000.0,1,100.0
ASUOGYAMAN,D. C. Pharmacy Limited,1,Eastern,1250.0,8,12.5
ASUTIFI NORTH,First Care Pharmacy,1,Brong Ahafo,2500.0,4,25.0
ASUTIFI SOUTH,G-Eme Pharmacy Limited,1,Brong Ahafo,3333.3333333333326,3,33.3
ATEBUBU-AMANTIM,Dav-Makida Pharmacy Limited,1,Brong Ahafo,3333.3333333333326,3,33.3
ATIWA,Roseno Pharmacy Limited,2,Eastern,2222.222222222222,6,33.3
ATWIMA KWANWOMA,Pillpoint Pharmacy,2,Ashanti,451.38888888888863,24,8.3
ATWIMA MPONUA,Bokat Pharmacy,1,Ashanti,5000.0,2,50.0
ATWIMA NWABIAGYA,Medcourt Pharmacy Limited,2,Ashanti,408.1632653061224,28,7.1
AWUTU SENYA,Onuado Pharmacy Limited,1,Central,277.77777777777777,36,2.8
AWUTU SENYA EAST,Pharmatrust Pharmacy,4,Central,325.0,40,10.0
BAWKU,Kombat Pharmacy Limited,1,Upper East,3333.3333333333326,3,33.3
BAWKU WEST,Awalugu Pharmacy Limited,1,Upper East,5000.0,2,50.0
BEKWAI,Adams Pharmacy,1,Ashanti,1111.111111111111,9,11.1
BEREKUM,Freedom Life Pharmacy Limited,1,Brong Ahafo,1428.5714285714284,7,14.3
BIA EAST,Green Pea Pharmacy Limited,1,Western,5000.0,2,50.0
BIA WEST,Vena Cava Pharmacy Limited,1,Western,10000.0,1,100.0
BIAKOYE,Likem Pharmacy,1,Volta,10000.0,1,100.0
BIBIANI-ANHWIASO BEKWAI,180 Plus Pharmacy Limited,1,Western,909.0909090909093,11,9.1
BIRIM CENTRAL,Family Wise Pharmacy,1,Eastern,2000.0,5,20.0
BIRIM NORTH,Bits Pharmacy Limited,1,Eastern,2000.0,5,20.0
BIRIM SOUTH,Rs-Doxa Pharmacy Limited,1,Eastern,3333.3333333333326,3,33.3
BOLE-BAMBOI,Kyengbe Pharmacy,1,Northern,5000.0,2,50.0
BOLGATANGA,Endswell Pharmacy,2,Upper East,521.5419501133788,21,9.5
BONGO,Bongo Express Pharmacy Pha,1,Upper East,10000.0,1,100.0
BOSOMTWE,Charmar Pharmacy Limited,2,Ashanti,521.5419501133788,21,9.5
BUNKPURUGU-YONYOO,Lampharm Pharmacy Limited,1,Northern,10000.0,1,100.0
CAPE COAST,Kingsway Pharmacy Limited,3,Central,339.5061728395061,36,8.3
CENTRAL GONJA,Buipe Pharmacy Limited,1,Northern,5000.0,2,50.0
CENTRAL TONGU,Fma Pharmacy Limited,1,Volta,10000.0,1,100.0
DENKYEMBOUR,Anstand Chemist Limited,1,Eastern,3333.3333333333326,3,33.3
DORMA WEST,A. K. Global Pharmaceuticals,1,Brong Ahafo,5000.0,2,50.0
DORMAA CENTRAL,Scab Pharmacy Limited,3,Brong Ahafo,2098.7654320987654,9,33.3
DORMAA EAST,J-Mall Pharmacy Limited,1,Brong Ahafo,3333.3333333333326,3,33.3
EAST AKIM,Akwaaba Pharmacy Limited,1,Eastern,1250.0,8,12.5
EAST GONJA,Murouki Hassini Pharmacy Li,1,Northern,10000.0,1,100.0
EAST MAMPRUSI,Chantiwuni Chemist,1,Northern,10000.0,1,100.0
EFFUTU,Pharmacy De Pabloe Limited,2,Central,1400.0,10,20.0
EJISU-JUABENG,Erndom Chemist,2,Ashanti,282.7087442472057,39,5.1
EJURA-SEKYIDUMASE,Asomafo Pharmacy,2,Ashanti,3750.0,4,50.0
ELLEMBELLE,Jephpong Pharmacy,2,Western,3750.0,4,50.0
FANTEAKWAH,Kwampaw Pharmacy Limited,1,Eastern,1666.6666666666665,6,16.7
GA CENTRAL,Espat Pharmacy,2,Greater Accra,122.4592854437571,89,2.2
GA EAST,Fiina Pharmacy Limited,3,Greater Accra,74.21875,160,1.9
GA SOUTH,Unicom Chemist Limited,4,Greater Accra,80.53911900065744,156,2.6
GA WEST,J-Rad Pharmacy,4,Greater Accra,77.83558792924035,155,2.6
GOMOA EAST,I'S And J'S Pharmacy Limited,2,Central,703.125,16,12.5
GOMOA WEST,Reypat Pharmacy,1,Central,5000.0,2,50.0
GUSHIEGU,Boipads Pharmacy Limited,1,Northern,10000.0,1,100.0
HO,Trafalgar Gate Pharmacy,2,Volta,314.09788166544917,37,5.4
HO WEST,Stramark Pharmacy Limited,1,Volta,10000.0,1,100.0
HOHOE,Verdi Pharmacy,2,Volta,1400.0,10,20.0
JAMAN NORTH,Awanga Pharmacy Limited,1,Brong Ahafo,5000.0,2,50.0
JAMAN SOUTH,Scab Pharmacy Limited,1,Brong Ahafo,10000.0,1,100.0
JASIKAN,Selimed Pharmacy Limited,1,Volta,5000.0,2,50.0
JIRAPA,Yobo Pharmacy Limited,1,Upper West,3333.3333333333326,3,33.3
JOMORO,Safeline Pharmacy,1,Western,1428.5714285714284,7,14.3
JUABESO,Forsboat Pharmacy Limited,1,Western,10000.0,1,100.0
KADJEBI,Truth Pharmaceuticals Companylt,1,Volta,3333.3333333333326,3,33.3
KASSENA-NANKANA,Fb Ultimate Pharmacy,2,Upper East,3750.0,4,50.0
KETA,Riad Pharmaceutical Compan,1,Volta,2500.0,4,25.0
KETU NORTH,Bluestar Pharmacy,2,Volta,3750.0,4,50.0
KETU SOUTH,Elikplim Pharmacy Limited,2,Volta,844.4444444444446,15,13.3
KINTAMPO NORTH,Cisant Pharmacy,2,Brong Ahafo,1836.7346938775509,7,28.6
KINTAMPO SOUTH,Alexis Pharmacy Limited,1,Brong Ahafo,10000.0,1,100.0
KMA,Ernest Chemists Limited,9,Ashanti,32.4106003849604,471,1.9
KOMENDA-EDINA EGUAFO-AB,Nat And Sons Pharmacy Limited,1,Central,1666.6666666666665,6,16.7
KPANDAI,Mansco Pharmacy Limited,1,Northern,10000.0,1,100.0
KPANDO,Glopharma Limited,1,Volta,2000.0,5,20.0
KPONE KATAMANSO,Rolak Pharmacy Limited,1,Greater Accra,294.1176470588235,34,2.9
KRACHI EAST,Elikplim Pharmacy Limited,1,Volta,2500.0,4,25.0
KRACHI WEST,Fly Zipline Gh Limited,1,Volta,5000.0,2,50.0
KUMBUGU,Kelisa Pharmacy Limited,1,Northern,10000.0,1,100.0
KWABERE EAST,Sherag Pharmacy Limited,2,Ashanti,385.0156087408949,31,6.5
KWAEBIBIREM,Amasey Pharmacy Limited,1,Eastern,2500.0,4,25.0
KWAHU AFRAM PLAINS NORTH,Healthgate Pharmaceuticals,1,Eastern,10000.0,1,100.0
KWAHU AFRAM PLAINS SOUTH,27Th Pharmacy Limited,1,Eastern,5000.0,2,50.0
KWAHU EAST,Antrico Pharmacy,1,Eastern,10000.0,1,100.0
KWAHU SOUTH,Asm Pharmacy,1,Eastern,5000.0,2,50.0
KWAHU WEST,Zip Pharmacy,2,Eastern,972.2222222222221,12,16.7
LA DEDE-KOTOPON,Mokat Chemists Limited,2,Greater Accra,521.5419501133788,21,9.5
LA NKWANTANANG-MADINA,Ernest Chemists Limited,4,Greater Accra,135.80246913580248,90,4.4
LAWRA,Altinatet Pharmacy,1,Upper West,5000.0,2,50.0
LEDZOKUKU-KROWOR,Asanco Pharmacy,2,Greater Accra,139.79238754325263,85,2.4
LOWER MANYA KROBO,Eugenex Pharmacy,1,Eastern,2000.0,5,20.0
MAMPONG,Scab Pharmacy Limited,2,Ashanti,2222.222222222222,6,33.3
MFANTSEMAN,Klins Pharmacy,2,Central,1200.0,10,20.0
NABDAM,Adastraf Pharmacy Limited,1,Upper East,10000.0,1,100.0
NADOWLI-KALEO,Maalyiri Pharmacy,1,Upper West,10000.0,1,100.0
NANDOM,Altinatet Pharmacy,1,Upper West,10000.0,1,100.0
NANUMBA NORTH,Eastern Corridor Pharmacy,1,Northern,10000.0,1,100.0
NEW-JUABENG,Interpharma Limited,4,Eastern,301.23456790123464,45,8.9
NINGO PRAMPRAM,Origin Chemist Limited,3,Greater Accra,283.44671201814066,42,7.1
NKORANZA SOUTH,Rhodel Pharmacy Limited,1,Brong Ahafo,3333.3333333333326,3,33.3
NKWANTA NORTH,72Nd Pharmacy Limited,1,Volta,2500.0,4,25.0
NKWANTA SOUTH,Moselin Pharmacy Limited,1,Volta,3333.3333333333326,3,33.3
NORTH DAYI,Emad Pharmacy Limited,1,Volta,5000.0,2,50.0
NORTH TONGU,Juapong Pharmacy Limited,1,Volta,2500.0,4,25.0
NSAWAM ADOAGYIRI,Agyeken Pharmacy Limited,1,Eastern,666.6666666666667,15,6.7
NZEMA EAST,Revag Pharmacy Limited,1,Western,10000.0,1,100.0
OBUASI,Lizmok Pharmacy Limited,2,Ashanti,368.6087990487513,29,6.9
OFFINSO,Beked Pharmacy,1,Ashanti,1111.111111111111,9,11.1
OFFINSO NORTH,Kubaid Pharmacy Limited,1,Ashanti,3333.3333333333326,3,33.3
PRESTEA HUNI VALLEY,Benjes Pharmacy,2,Western,816.3265306122448,14,14.3
PRU,Rahma Pharmacy,1,Brong Ahafo,2500.0,4,25.0
SAGNERIGU,Pluscare Pharmacy,1,Northern,555.5555555555555,18,5.6
SAVELUGU-NANTONG,Alma Chemist,1,Northern,10000.0,1,100.0
SAWLA TUNA KALBA,Mundra Pharmacy Ghana Lim,1,Northern,10000.0,1,100.0
SEFWI WIAWSO,Aboagye Pharmaceuticals Lim,1,Western,1250.0,8,12.5
SEKONDI-TAKORADI,Gramer Chemists,3,Western,137.4427321949188,98,3.1
SEKYERE AFRAM PLAINS,Eduff Pharmacy Limited,1,Ashanti,5000.0,2,50.0
SEKYERE CENTRAL,Afri-J Pharmacy,1,Ashanti,10000.0,1,100.0
SEKYERE EAST,Esthmark Pharmacy Limited,1,Ashanti,2500.0,4,25.0
SEKYERE SOUTH,Andof Pharmacy,1,Ashanti,5000.0,2,50.0
SENE EAST,Pepway Pharmacy,1,Brong Ahafo,5000.0,2,50.0
SENE WEST,Arkopharma Company Limited,1,Brong Ahafo,10000.0,1,100.0
SHAI-OSUDOKU,A. M. Gambo Pharmacy Limited,1,Greater Accra,500.0,20,5.0
SHAMA,Hedge Pharmacy,1,Western,1666.6666666666665,6,16.7
SISSALA EAST,Sankmo Pharmacy,1,Upper West,10000.0,1,100.0
SOUTH DAYI,Far Above Pharmacy,1,Volta,3333.3333333333326,3,33.3
SOUTH TONGU,Adepharma Limited,2,Volta,2800.0,5,40.0
SUAMAN,Wilmens Pharmacy Limited,1,Western,10000.0,1,100.0
SUHUM,Suhum Providence Pharmacy,3,Eastern,2187.5,8,37.5
SUNYANI,Six Stars Pharmacy,3,Brong Ahafo,312.49999999999994,48,6.2
SUNYANI WEST,O. K Pharmacy Limited,2,Brong Ahafo,1562.5,8,25.0
TAIN,Scab Pharmacy Limited,1,Brong Ahafo,10000.0,1,100.0
TALENSI,Gither Pharmacy Limited,1,Upper East,10000.0,1,100.0
