company_norm,total_outlets,regions_count,mmdas_count,wholesale_outlets,retail_outlets,regions_list
Ernest Chemists Limited,60,8,16,35,25,"Ashanti, Brong Ahafo, Central, Eastern, Greater Accra, Northern, Volta, Western"
Scab Pharmacy Limited,25,2,15,8,17,"Ashanti, Brong Ahafo"
Unicom Chemist Limited,24,2,9,19,5,"Ashanti, Greater Accra"
East Cantonments Pharmacy,18,3,7,8,10,"Ashanti, Brong Ahafo, Greater Accra"
Top-Up Pharmacy Limited,15,5,7,2,13,"Ashanti, Central, Eastern, Greater Accra, Volta"
Bedita Pharmacy,15,5,7,10,5,"Ashanti, Central, Greater Accra, Northern, Western"
Pharmatrust Pharmacy,11,3,6,7,4,"Central, Greater Accra, Western"
Brobbson Pharmacy Limited,10,1,2,3,7,Greater Accra
Kinapharma Limited,9,4,4,8,1,"Ashanti, Greater Accra, Northern, Western"
Panacea Pharmacy Limited,9,3,6,3,6,"Ashanti, Greater Accra, Northern"
Origin Chemist Limited,8,1,5,1,7,Greater Accra
Baseline Pharmaceuticals Limited,8,7,7,8,0,"Brong Ahafo, Central, Eastern, Greater Accra, Northern, Upper West, Western"
Medcourt Pharmacy Limited,8,2,6,4,4,"Ashanti, Brong Ahafo"
Dosty Pharmacy,7,1,3,1,6,Greater Accra
Tobinco Pharmacy,7,4,4,5,2,"Ashanti, Greater Accra, Volta, Western"
Add Pharma Gh Limited,7,2,6,2,5,"Ashanti, Greater Accra"
Life Chemist Limited,6,2,2,1,5,"Ashanti, Greater Accra"
Osons Chemist Limited,6,2,2,5,1,"Ashanti, Greater Accra"
Care View Pharmacy Limited,6,1,4,1,5,Greater Accra
Medimart Pharmacy Limited,6,1,3,0,6,Greater Accra
Pillpoint Pharmacy,6,2,3,2,4,"Ashanti, Greater Accra"
Elikplim Pharmacy Limited,5,2,3,3,2,"Greater Accra, Volta"
Rock Chemists,5,1,3,5,0,Greater Accra
Oakridge Pharmacy Limited,5,2,3,2,3,"Ashanti, Central"
Pfago Chemists Limited,5,1,3,2,3,Greater Accra
Western Pharmacy,5,1,1,3,2,Ashanti
Pearlane Pharmacy,5,1,2,3,2,Ashanti
Fiina Pharmacy Limited,5,1,3,2,3,Greater Accra
Gramer Chemists,5,1,2,2,3,Western
Verdi Pharmacy,5,1,3,4,1,Volta
Kelmed Pharmaceuticals Limited,5,2,3,5,0,"Greater Accra, Volta"
Fly Zipline Ghana Limited,5,4,5,5,0,"Ashanti, Eastern, Northern, Western"
J-Rad Pharmacy,4,1,1,1,3,Greater Accra
Interpharma Limited,4,1,1,1,3,Eastern
Health Tower Chemist,4,1,1,0,4,Greater Accra
Ekuus Pharmacy Limited,4,1,1,2,2,Greater Accra
Adepharma Limited,4,2,3,1,3,"Greater Accra, Volta"
Aid Inn Pharmacy,4,1,2,1,3,Ashanti
The Mall Pharmacy,4,1,3,0,4,Greater Accra
Ricomons Pharmacy Limited,4,2,4,1,3,"Ashanti, Eastern"
Atomic Hills Pharmacy,4,1,2,2,2,Greater Accra
Desh Chemists Limited,4,2,4,2,2,"Central, Greater Accra"
Pida Chemist Limited,4,3,4,3,1,"Ashanti, Brong Ahafo, Western"
Chrispharma Limited,4,1,4,4,0,Eastern
Prime Pharmacy,4,1,2,0,4,Greater Accra
Jucad Pharmacy,4,2,3,2,2,"Central, Greater Accra"
Equity Pharmacy Limited,4,1,2,0,4,Greater Accra
Mikaddo Pharmacy Limited,4,2,2,3,1,"Ashanti, Eastern"
Six Stars Pharmacy,4,1,2,1,3,Brong Ahafo
Nesta Chemists Limited,4,1,1,0,4,Greater Accra
Adepa Pharmaceuticals Limited,4,1,1,2,2,Greater Accra
Lena Pharmacy,4,2,3,0,4,"Greater Accra, Volta"
Sebatos Pharmacy,3,2,3,2,1,"Greater Accra, Volta"
Mek Pharmacy Limited,3,2,3,3,0,"Ashanti, Volta"
Palace Pharmacy Limited,3,1,1,1,2,Greater Accra
Pnt Pharmacy Limited,3,1,1,2,1,Greater Accra
Santa Theres Pharmacy Limited,3,1,2,0,3,Greater Accra
Pharmanova Limited,3,3,3,3,0,"Ashanti, Greater Accra, Northern"
Danpong Pharmacy (Gh) Limited.`,3,1,2,1,2,Greater Accra
Alpha Duo Pharmacy Limited,3,1,1,1,2,Ashanti
Raynek Pharmacy Limited,3,1,2,0,3,Ashanti
Alpha Delta Pharmacy,3,1,1,1,2,Greater Accra
Luhaki Company Limited,3,1,1,0,3,Ashanti
Big Maron Pharmacy,3,1,2,2,1,Greater Accra
Almco Pharmacy Limited,3,1,3,1,2,Greater Accra
Meditab Pharmacy Limited,3,1,3,0,3,Greater Accra
Uri Pharma Limited,3,1,1,1,2,Ashanti
Hills Pharmacy Limited,3,2,2,3,0,"Ashanti, Greater Accra"
Jsi Pharmacy Limited,3,1,2,1,2,Ashanti
Rany Pharmacy & Wellness Ce,3,2,2,1,2,"Ashanti, Greater Accra"
Lloylan Pharmacy Limited,3,1,2,1,2,Greater Accra
Ansu Memorial Pharmacy,3,1,1,0,3,Greater Accra
Lizmok Pharmacy Limited,3,1,2,0,3,Ashanti
Healthy Vita Pharmacy,3,2,3,0,3,"Eastern, Greater Accra"
Lizdan Pharmacy,3,2,2,1,2,"Central, Greater Accra"
Benjes Pharmacy,3,1,2,2,1,Western
Vicbarns Pharmacy Limited,3,1,1,1,2,Ashanti
Eff-Ess Pharmacy Limited,3,1,1,0,3,Western
Humano Pharmacy Limited,3,1,2,0,3,Greater Accra
Unichem Ghana Limited,3,3,3,3,0,"Ashanti, Northern, Western"
Bendi Chemist Limited,3,1,1,0,3,Greater Accra
Vital Pharmacy,3,1,1,1,2,Ashanti
Senes Pharma Company. Limited,3,1,2,1,2,Greater Accra
Nexto Pharmacy Limited,3,2,2,0,3,"Greater Accra, Volta"
Biotic Pharmacy,3,1,2,1,2,Greater Accra
J & D Pharmacy Limited,3,2,3,0,3,"Ashanti, Greater Accra"
Topmed Pharmacy,3,2,3,1,2,"Eastern, Greater Accra"
Habmay Pharmacy Limited,3,2,2,3,0,"Ashanti, Greater Accra"
Suhum Providence Pharmacy,3,1,1,1,2,Eastern
Top Pill Pharmacy Limited,3,1,1,0,3,Greater Accra
Cedar Point Chemists Limited,3,1,2,2,1,Greater Accra
Top In Town Pharmacy Limited,3,2,2,1,2,"Greater Accra, Volta"
Worldwide Healthcare Limited,3,2,2,3,0,"Ashanti, Greater Accra"
Parker Pharmacy,3,1,2,3,0,Greater Accra
Tonya Pharmacy,3,1,1,2,1,Western
Hale Pharmacy Limited,3,1,2,1,2,Greater Accra
Kingsway Pharmacy Limited,3,1,1,1,2,Central
Mauplus Pharmacy,3,1,3,0,3,Northern
Morton Chemist Limited,3,1,2,1,2,Greater Accra
Drugix Pharmacy,3,1,2,0,3,Greater Accra
Rokmer Pharma Limited,3,1,2,2,1,Greater Accra
Kofikrom Pharmacy Limited,3,2,3,3,0,"Eastern, Greater Accra"
Roatina Pharmacy Limited,3,2,3,1,2,"Ashanti, Greater Accra"
Roseno Pharmacy Limited,3,1,2,1,2,Eastern
N-Geo Pharmacy,3,1,2,0,3,Greater Accra
3J'S Pharmacy,3,3,3,2,1,"Brong Ahafo, Central, Greater Accra"
Mycro Chemists,3,1,2,1,2,Greater Accra
Jephpong Pharmacy,3,1,2,2,1,Western
Aspha Pharmacy Limited,3,2,2,1,2,"Ashanti, Brong Ahafo"
Sanor Chemists,3,1,2,3,0,Greater Accra
Willrite Pharmacy,3,1,3,1,2,Ashanti
Pharma Laud K. Limited,3,1,1,1,2,Ashanti
Stereda Pharmaceuticals,3,2,3,2,1,"Central, Greater Accra"
Apl Pharmacy Limited,3,1,2,1,2,Greater Accra
Widama Pharmacy,3,2,2,3,0,"Central, Greater Accra"
Opa Chemist,3,1,2,0,3,Greater Accra
Fountain Pharmacy,2,1,2,0,2,Greater Accra
Beach Road Pharmacy,2,1,1,2,0,Greater Accra
Avenue Chemists,2,1,1,1,1,Greater Accra
Radiance Pharmacy,2,1,2,0,2,Greater Accra
Propharm Chemist Limited,2,1,1,1,1,Ashanti
Bebal Pharmacy Limited,2,1,1,0,2,Greater Accra
Jab Healthcare Pharmacy,2,1,1,1,1,Ashanti
Supra Pharma Limited. (K'Si Branc,2,1,1,2,0,Ashanti
Mawuena Pharmacy,2,1,2,1,1,Greater Accra
Baaspharma Limited,2,1,2,2,0,Greater Accra
Maxbet Pharmacy Limited,2,1,1,1,1,Greater Accra
Sunview Chemist Limited,2,1,1,0,2,Greater Accra
Odorkor Pharmacy Limited,2,1,1,2,0,Greater Accra
Novik Pharmacy,2,1,2,0,2,Greater Accra
Imperial Chemist Limited,2,1,1,1,1,Greater Accra
Ofako Pharmacy Limited,2,2,2,2,0,"Central, Greater Accra"
Delivery Chemist Limited,2,1,2,0,2,Greater Accra
Baseline Pharmacy Limited,2,2,2,2,0,"Greater Accra, Volta"
Atm Pharmacy Limited,2,1,1,0,2,Western
Jaspers Pharmacy Limited,2,2,2,2,0,"Ashanti, Greater Accra"
Telad Pharmacy,2,1,1,1,1,Greater Accra
O'Nart Pharmacy,2,1,1,0,2,Western
Marshall Chemist,2,1,2,0,2,Greater Accra
Nissi Pharma Limited,2,1,2,2,0,Greater Accra
O. K Pharmacy Limited,2,1,1,1,1,Brong Ahafo
Betvin Pharmacy,2,1,1,1,1,Greater Accra
Stellex Pharmacy,2,2,2,1,1,"Ashanti, Eastern"
Marrita Pharmacy,2,1,2,0,2,Ashanti
Baccenta Pharmacy Limited,2,1,2,0,2,Greater Accra
Mebroni Pharmacy Limited,2,2,2,1,1,"Greater Accra, Western"
Quick Pharmacy,2,1,1,0,2,Greater Accra
St. Georgina Pharmacy,2,1,1,0,2,Ashanti
Stipps Pharmacy,2,1,1,1,1,Greater Accra
Stramark Pharmacy Limited,2,1,2,0,2,Volta
O.B.M Pharmacy Limited,2,1,2,1,1,Greater Accra
Beked Pharmacy,2,1,2,0,2,Ashanti
Begoro Pharmacy,2,1,2,1,1,Eastern
Franzwill Chemists Limited,2,1,1,0,2,Ashanti
Base Pharmacy Limited,2,1,1,2,0,Greater Accra
J-Mall Pharmacy Limited,2,1,2,0,2,Brong Ahafo
