region,total_pharmacies,retail_count,wholesale_count,retail_pct,total_fda_products,fda_drug_products,fda_food_products,fda_local_products,fda_products_per_pharmacy,wholesale_per_100k_pharmacies,local_fda_pct,pharm_share,fda_share,share_gap,population,pharmacies_per_100k,fda_products_per_100k
Greater Accra,1957,1356,597,69.28972917731221,2243,19,1997,0,1.15,30.5,0.0,52.3,60.1,7.8,,,
Ashanti,759,486,273,64.03162055335969,330,28,260,0,0.43,36.0,0.0,20.3,8.8,-11.5,,,
Western,213,87,126,40.845070422535215,140,9,90,0,0.66,59.2,0.0,5.7,3.7,-2.0,,,
Central,201,95,106,47.2636815920398,210,17,157,0,1.04,52.7,0.0,5.4,5.6,0.2,,,
Eastern,170,85,85,50.0,312,10,266,0,1.84,50.0,0.0,4.5,8.4,3.9,,,
Brong Ahafo,165,74,91,44.84848484848485,153,1,126,0,0.93,55.2,0.0,4.4,4.1,-0.3,,,
Volta,117,56,61,47.863247863247864,125,1,111,0,1.07,52.1,0.0,3.1,3.3,0.2,,,
Northern,105,58,47,55.23809523809524,114,1,83,0,1.09,44.8,0.0,2.8,3.1,0.3,,,
Upper East,33,14,19,42.42424242424242,66,0,53,0,2.0,57.6,0.0,0.9,1.8,0.9,,,
Upper West,25,11,14,44.0,41,2,29,0,1.64,56.0,0.0,0.7,1.1,0.4,,,
