active_ingredient,count
artemether/lumefantrine,167
vitamin c,139
albendazole,91
ceftriaxone sodium/sulbactam sodium,83
paracetamol,66
cefuroxime axetil,66
diclofenac sodium,63
amoxicillin trihydrate / potassium clavulanate,61
ceftriaxone sodium,58
ciprofloxacin,55
cefotaxime sodium,53
artesunate,51
metronidazole,46
nifedipine,42
paracetamol / diclofenac sodium / caffeine,41
omeprazole,40
tramadol hydrochloride,39
sildenafil citrate,39
azithromycin dihydrate,38
ibuprofen,38
paracetamol/caffeine/ibuprofen,34
amoxicillin sodium/potassium clavulanate,34
rivaroxaban,33
chloramphenicol,31
clotrimazole,30
loperamide hydrochloride,29
pregabalin,28
ciprofloxacin hydrochloride,26
losartan potassium,26
azithromycin,26
acetaminophen,25
metformin hydrochloride,25
fluconazole,24
carvedilol,24
vitamin c/ zinc,23
cyproheptadine & multivitamin,21
artemether,20
diclofenac,20
ascorbic acid,20
omeprazole sodium,20
multivitamins,20
cefuroxime sodium,20
telmisartan,18
sodium chloride,18
enrofloxacin,18
rosuvastatin calcium,17
clindamycin hydrochloride,17
amoxicillin trihydrate/potassium clavulanate,17
amlodipine,16
povidone-iodine,16
paracetamol/diclofenac sodium,16
gentamicin sulfate,15
atorvastatin,15
esomeprazole magnesium,14
cefixime trihydrate,14
ofloxacin,14
chlorpheniramine maleate,14
artesunate/ sodium bicarbonate/ sodium chloride,14
tranexamic acid,13
aceclofenac,13
tadalafil,13
mebendazole,13
piroxicam,13
amoxicillin,13
paracetamol/vitamin c,12
diminazene diacatinate,12
amoxicillin/clavulanate potassium,12
potassium,12
caffeine/ibuprofen/paracetamol,12
vitamin a/ vitamin d3/ vitamin e/ vitamin k3/ vitamin b6/ vitamin b12/ vitamin b1/ vitamin b2/ taurine/ lysine/ methionine/ niacinamide/ calcium pantothenate,12
(l-isoleucine /l-leucine / l-lysine hydrochloride/ l-methionine / l-phenylalanine / l-threonine / l-tryptophan /l-valine /l-arginine / l-histidine / glycine / l-alanine / l-proline / l-aspartic acid / l-asparagine h2o/l-cysteine hydrochloride 1,12
clobetasol propionate,12
flucloxacillin sodium,12
fluralaner,11
carbocisteine,11
levonorgestrel,11
paracetamol/ibuprofen/caffeine,11
ketoconazole,11
levofloxacin hydrochloride,11
glucose anhydrous,11
sildenafil,11
dihydroartemisinin / piperaquine phosphate,11
hyoscine butylbromide,11
amoxicillin trihydrate,11
progesterone,10
clotrimazole / betamethasone dipropionate / neomycin sulphate,10
timolol maleate,10
menthol,10
cefuroxime,10
levofloxacin hemihydrate,10
paracetamol/ diclofenac potassium,10
fluticasone propionate/salmeterol xinafoate,10
tylosin tartrate,10
celecoxib,10
atorvastatin calcium,10
dried aluminium hydroxide / magnesium hydroxide / simethicone / oxethazaine,10
flucloxacillin,9
gentamicin,9
ivermectin,9
pregabalin/ methylcobalamin,9
ondansetron,9
"iron (ill) hydroxide polymaltose complex, equiv. to elemental iron/ folic acid bp / vitamin b12 / zinc sulphate monohydrate",9
ciprofloxacin/dexamethasone,9
candesartan cilexetil,9
griseofulvin,9
sulfadoxine/pyrimethamine,9
xylometazoline hydrochloride,9
pethidine hydrochloride,9
vitamin b6,9
ephedrine hydrochloride,9
etoricoxib,9
morphine sulfate usp,8
dapagliflozin,8
oxytetracycline hydrochloride,8
citric acid monohydrate,8
tobramycin,8
loratadine,8
cetrorelix acetate,8
artemether+lumefantrine,8
propofol,8
sulfamethoxazole bp/ trimethoprim bp,8
ferrous sulphate eq. to elemental iron/thiamine hcl/riboflavin/pyridoxine hcl/folic acid,8
clindamycin phosphate,8
olopatadine hydrochloride,8
vitamin e,8
amoxicillin /clavulanic acid,8
rosuvastatin,8
carbamazepine,8
atenolol,8
secnidazole,7
bisacodyl,7
aciclovir,7
