client_clean,count
ernest chemist limited,372
ronak exim private limited,313
unicom chemist limited,195
pharmanova limited,150
entrance pharmaceuticals & research centre,128
bliss gvs pharma limited,126
rafimex company limited,121
eskay therapeutics limited,111
gb pharma limited,109
renie chemist limited,106
melcom gh. limited,92
twellium industrial company limited,88
centillion pharma limited,79
costco zion investment ghana limited,78
saagar impex (gh) limited,76
kinapharma limited,75
oa&j pharmaceuticals limited,75
sneda shopping center,74
transmed gh. limited,68
africa zone trading limited,67
mac sources limited,63
pokupharma limited,61
habmay pharmacy limited,60
denk pharma gmbh & co kg prinzregentenstraße 79,57
vegagen uk limited,56
softhealth ghana limited,50
salom pharmacy limited,50
cave & gardens gh. limited,50
lemonera ghana limited,49
letap phramceuticals limited,48
mylan laboratories limited,48
gold coast matcom (gcm) limited,45
add pharma ghana limited,45
syycol company limited,45
"msn laboratories private limted, msn",45
mosam mart limited,45
aura pharmaceuticals limited,43
oreca ghana limited,42
fareast mercantile limited,41
"exeter pharmaceuticals, queensgate",40
nestle gh. limited,39
novartis ghana limited,39
trade winds chemist limited,38
captain cook enterprise,38
nutrifoods gh. limited,37
vitabiotics limited,36
"relish company limited,akai",35
new global pharmaceutical limited,34
novartis pharma ag - lichtstrasse 35,34
procus ghana limited,34
k6 trading limited,34
jubaili agrotec limited,34
maridav gh. limited,34
london united exports,33
tobinco pharmaceuticals limited,33
marina distribution company limited,33
dannex ayrton starwin plc,33
"lavina pharmaceuticals private limited, satra plaza, office",33
m&g pharmaceuticals,32
letap pharmaceuticals limited,32
shoprite gh. (pty) limited,32
pharmatrust limited; scc new weija girel behind scc police station,32
trust link ventures limited,32
rokmer pharma limited,31
glacio ghana limited,31
imexco gh. limited,31
m&g pharmaceuticals limited,31
cave and gardens gh. limited,31
addii biotech private limited,31
novartis pharma services ag,30
nps trading limited,30
"pharmatrust limited - scc new weija gicel, behind police station",30
phyto-riker (gihoc) pharmaceuticals,30
gokals limited,29
knvm medicare private limited; kh,28
shalina healthcare dmcc30th floor almas towersjumeirah lakes towersdubaiuae,28
ascot pharmacy limited,28
the himalaya drug company,28
at ghana limited,27
al-jabarout limited,27
thakkar overseas limited,27
krka d.d šmarješka cesta 6,26
kwasi addae abebrese enterprise,26
samospharma limited,26
olive tree pantry,26
phyto riker (gihoc) pharamaceuticals limited,26
herbalife ghana limited,25
forewin gh. limited,25
