country_origin,count
ghana,4614
india,3436
china,851
united kingdom,581
united states,312
turkey,276
brazil,262
netherlands,246
south africa,243
france,239
germany,236
vietnam,216
spain,200
belgium,173
italy,154
united arab emirates,135
poland,131
mauritania,127
ireland,113
pakistan,90
malaysia,88
argentina,74
egypt,74
thailand,69
nigeria,69
morocco,67
united states of america,64
lebanon,57
indonesia,53
sri lanka,41
denmark,41
switzerland,39
brasil,38
austria,38
portugal,38
mexico,38
australia,36
oman,34
holland,32
bangladesh,31
ukraine,28
hungary,28
scotland,27
slovenia,26
saudi arabia,25
canada,23
south korea,19
senegal,17
yemen,17
singapore,17
greece,17
togo,16
india.,16
sweden,15
russia,15
japan,14
kenya,14
england,14
norway,14
jordan,14
belarus,12
lithuania,11
cyprus,11
romania,11
latvia,10
rwanda,10
iran,9
czech republic,9
ivory coast,9
finland,8
moldova,8
ivory coast (cote d`ivoire),8
thialand,7
burkina faso,7
taiwan,7
paraguay,7
united sates,6
gambia,6
liberia,5
begium,5
macedonia,5
not applicable,5
new zealand,5
colombia,5
bulgaria,5
tanzania,4
tunisia,4
germany.,4
israel,4
slovakia,4
peru,4
italy.,4
puerto rico,4
uruguay,4
hong kong,4
cambodia,3
sierra leone,3
namibia,3
malta,3
guyana,3
philippines,3
chile,3
mauritius,3
france.,3
belgium.,3
bolivia,3
accra,2
korea-south,2
libya,2
guatemala,2
dubai,2
kosovo,2
faroe islands,2
c,2
ire,2
uganda,2
german,2
polynesia (french),2
botswana,1
n,1
turkey.,1
benin,1
nepal,1
kazakhstan,1
g,1
fromageries bel maroc zi de moghogha tanger (lpl 34.6.13) morocco,1
usa.,1
"til healthcare private limited - sy. no. 78/80/81/85/86/134, plot no 100, west r5, south cherivi village, irugulam post, sathyavedu mandal, tirupati district 517588 andhra pradesh,, india",1
ecuador,1
india4,1
ashanti,1
the egyptian co. for food development,1
bahrain,1
"moo gari, nsuta apirede near boti falls, gps address: ey-1381-4614",1
gujara,1
algeria,1
ghaha,1
slovenia.,1
kuwait,1
united knigdom,1
croatia,1
spain.,1
chin a,1
p.r. china.,1
kingdom of saudi arabia,1
"essel-lex enterprise, cw-0017-4815, awutu breku, c/r",1
"seville products llc, p.o.box 54176, dubai-uae.",1
gh,1
iceland,1
estonia,1
"irish casing company, spollanstown ind. estate, tullamore, co. offaly, republic of ireland",1
cote d’ivorie,1
panama,1
"gaozhou natural aquatic co. ltd., shenchong village industrial zone, shigu town",1
usa & china,1
"b2 barika ent., gm-147-9029, accra, ga/r",1
malaysia.,1
"yem-vit, ankara asfalti road, pinar et onu area, ali kocer street 89121, kemalpasa-izmir, turkey",1
macau,1
greece.,1
origin,1
