Year,Month,Tradeflow,Partner_Country,HS2,Description_HS2,HS4,Description_HS4,HS10,Description_HS10,Tradevalue_Cedis,Tradevalue_USD
2022,january,import,australia,30,pharmaceutical products,3006,pharmaceutical goods specified in note 3 to this chapter,3006500000,first-aid boxes and kits,24629.13,4097.34041515087
2022,january,import,austria,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004500000,"medicaments of vitamins or other of 29.36 for retail sale - other, nes",510322.94,84970.269235252
2022,january,import,bangladesh,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004909000,"medicaments, consisting of mixed or unmixed products for the therapeutic or prophylactic uses, put up in measured dosesor in the forms of packings for retail sale: other: other",416496.89,69293.907563028
2022,january,import,belgium,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002120000,"antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes-antisera and other blood fractions",252780.27,42053.6475403018
2022,january,import,belgium,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002150000,"antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes -immunological products, put up in measured doses or in forms or packings for retail sale",68180.54,11350.8774550274
2022,january,import,belgium,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002200000,vaccines for human medicine,4888490.66,813522.217785924
2022,january,import,belgium,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002300000,vaccines for veterinary medicine,205397.3,34175.3548193874
2022,january,import,belgium,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002909000,other (vaccines for veterinary medicine),587.01,97.7340081915354
2022,january,import,belgium,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004200000,"medicaments of other antibiotics, for retail sale",164438.08,27357.966916277
2022,january,import,belgium,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004320000,"medicaments of adrenal cortex hormones, for retail sale",49225.98,8192.77540691273
2022,january,import,belgium,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004390000,"medicaments of other hormones, for retail sale, nes",61597.83,10255.7074356498
2022,january,import,belgium,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004909000,"medicaments, consisting of mixed or unmixed products for the therapeutic or prophylactic uses, put up in measured dosesor in the forms of packings for retail sale: other: other",3284733.34,545926.790483567
2022,january,import,belgium,30,pharmaceutical products,3005,"wadding, gauze, etc with pharmaceutical substances or for retail sale",3005900000,"wadding, gauze, etc with pharmaceutical substances for retail sale, nes",1015.38,169.052494880376
2022,january,import,belgium,30,pharmaceutical products,3006,pharmaceutical goods specified in note 3 to this chapter,3006200000,blood-grouping reagents,9281.36,1545.3222557067
2022,january,import,belgium,30,pharmaceutical products,3006,pharmaceutical goods specified in note 3 to this chapter,3006600000,chemical contraceptive preparations based on hormones or spermicides,212001.81,35295.9859483218
2022,january,import,brazil,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002909000,other (vaccines for veterinary medicine),4515.7,749.792448444193
2022,january,import,burkina faso,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004909000,"medicaments, consisting of mixed or unmixed products for the therapeutic or prophylactic uses, put up in measured dosesor in the forms of packings for retail sale: other: other",15674.81,2607.08036724103
2022,january,import,canada,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004909000,"medicaments, consisting of mixed or unmixed products for the therapeutic or prophylactic uses, put up in measured dosesor in the forms of packings for retail sale: other: other",300448.25,49973.9725863864
2022,january,import,china,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002150000,"antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes -immunological products, put up in measured doses or in forms or packings for retail sale",14821.93,2464.77431022614
2022,january,import,china,30,pharmaceutical products,3002,"human blood; animal blood; antisera, etc; vaccines, toxins, etc",3002190000,"antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes --  other",2973.9,495.146600955695
2022,january,import,china,30,pharmaceutical products,3003,"medicaments with >=2 constituents mixed together, not for retail sale",3003900000,"other medicaments with >=2 constituents, not for retail sale, nes",160887.55,26786.1604297296
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004100000,medicaments of penicillins... or streptomycins for retail sale,357679.49,59551.7115647165
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004200000,"medicaments of other antibiotics, for retail sale",247175.94,41153.4293163225
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004320000,"medicaments of adrenal cortex hormones, for retail sale",1969.4,327.883590836441
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004390000,"medicaments of other hormones, for retail sale, nes",1645.07,273.886188066063
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004490000,"other, containing alkaloids or derivatives thereof :--  other",136028.9,22648.0803170058
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004500000,"medicaments of vitamins or other of 29.36 for retail sale - other, nes",119671.79,19924.3736811042
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004600000,"- other, containing antimalarial active principles described in subheading note 2 to this chapter",111976.99,18644.4979103881
2022,january,import,china,30,pharmaceutical products,3004,"medicaments of mixed or unmixed products, for retail sale",3004909000,"medicaments, consisting of mixed or unmixed products for the therapeutic or prophylactic uses, put up in measured dosesor in the forms of packings for retail sale: other: other",837771.78,139439.103999746
