region,district,population
Ashanti,Kumasi Metropolitan Area (KMA),444163
Greater Accra,Kpone Katamanso Municipal,412816
Northern,Tamale Metropolitan Area (TMA),374907
Greater Accra,Ga South Municipal,350290
Northern,Sagnarigu Municipal,341737
Greater Accra,Ga Central Municipal,332479
Greater Accra,Ga West Municipal,314495
Central,Gomoa East,308537
Ashanti,Kwabre East,296300
Greater Accra,Accra Metropolitan Area (AMA),284628
Greater Accra,Ga East Municipal,283255
Greater Accra,Adentan Municipal,265610
Volta,Ketu South Municipal,252579
Western,Sekondi Takoradi Metropolitan Area (STMA),244789
Bono East,Techiman Municipal,243340
Central,Awutu Senya East Municipal,236507
Greater Accra,Ga North Municipal,235408
Ashanti,Atwima Kwanwoma,235055
Ashanti,Afigya Kwabre South,234587
Western,Prestea/Huni Valley Municipal,229014
Greater Accra,La Nkwantanang Madina Municipal,220852
Western,Tarkwa-Nsuaem Municipal,219383
Greater Accra,Ledzokuku Municipal,217398
Greater Accra,Weija Gbawe Municipal,213443
Ashanti,Oforikrom Municipal,213000
Greater Accra,Ashaiman Municipal,207871
Greater Accra,Ningo-Prampram,204534
Upper West,Wa Municipal,200887
Greater Accra,Tema West Municipal,196424
Bono,Sunyani Municipal,193463
Ashanti,Asokore Mampong Municipal,191696
Central,Cape Coast Metropolitan Area (CCMA),189845
Northern,Nanumba North Municipal,188896
North East,East Mamprusi Municipal,187904
Ashanti,Ejisu Municipal,180801
Volta,Ho Municipal,180193
Western,Wassa Amenfi East Municipal,179834
Greater Accra,Tema Metropolitan Area (TMA),178138
North East,West Mamprusi Municipal,176040
Western,Effia Kwesimintsim Municipal,173909
Central,Mfantsiman Municipal,169299
Greater Accra,Ablekuma Central Municipal,169189
Western North,Bibiani Anhwiaso Bekwai Municipal,168055
Central,Komenda Edina Eguafo Abirem Municipal,166153
Ashanti,Bosomtwi,165019
Ashanti,Atwima Nwabiagya South Municipal,161609
Central,Awutu Senya,161053
Greater Accra,Okaikoi North Municipal,160492
Greater Accra,Ablekuma North Municipal,159191
Eastern,Nsawam Adoagyiri Municipal,155890
Ashanti,Atwima Mponua,155253
Ashanti,Atwima Nwabiagya North,155241
Ashanti,Kwadaso Municipal,154471
Northern,Yendi Municipal,154436
Northern,Gushegu Municipal,153931
Western,Ahanta West Municipal,153505
Greater Accra,Ablekuma West Municipal,153474
Ahafo,Asunafo North Municipal,151233
Western North,Sefwi Wiawso Municipal,151040
Eastern,Kwahu West Municipal,146064
Bono East,Atebubu Amantin Municipal,144849
Upper East,Bawku West,144194
Greater Accra,Krowor Municipal,143188
Savannah,Central Gonja,142785
Upper East,Bolgatanga Municipal,142559
Greater Accra,La Dade-Kotopon Municipal,140365
Bono East,Kintampo North Municipal,140257
Ashanti,Bekwai Municipal,138321
Ashanti,Ejura Sekyedumase Municipal,137767
Ashanti,Offinso Municipal,137496
Ashanti,Suame Municipal,136414
Central,Agona West Municipal,136309
Bono,Sunyani West Municipal,136042
Oti,Nkwanta South Municipal,135944
Western North,Aowin Municipal,133318
Western,Wassa Amenfi West Municipal,131099
Eastern,New Juaben South Municipal,129978
Central,Gomoa West,129477
Central,Asikuma Odoben Brakwa,126891
Eastern,Suhum Municipal,126330
Western,Jomoro Municipal,126315
Northern,Kpandai,126251
Oti,Nkwanta North (Kpassa),126070
Ashanti,Asokwa Municipal,125627
Bono,Wenchi Municipal,124729
Central,Abura Asebu Kwamankese,124321
Ashanti,Asante Akim South Municipal,123458
Northern,Savelugu Municipal,122734
Eastern,Yilo Krobo Municipal,122439
Eastern,Lower Manya Krobo Municipal,122096
Eastern,Kwaebibirem Municipal,121534
Western,Ellembelle,121249
Central,Ajumako Enyan Essiam,120682
Ashanti,Sekyere South,119777
Upper East,Bawku Municipal,119449
Eastern,West Akim Municipal,118227
Western,Wassa Amenfi Central,118190
Northern,Tolon,117930
Savannah,East Gonja Municipal,117820
Western,Shama,117189
Ashanti,Mampong Municipal,116733
Bono,Jaman North,116486
Upper East,Bongo,116372
Western North,Bia West,115820
Savannah,Bole,115784
Bono,Tain,115529
Volta,Ketu North Municipal,114972
Ashanti,Old Tafo Municipal,114640
Bono East,Nkoranza South Municipal,114524
Volta,Hohoe Municipal,114473
Northern,Karaga,114249
Volta,South Tongu,113377
Ashanti,Amansie South,113023
Savannah,Sawla Tuna Kalba,112644
Bono,Dormaa Central Municipal,112614
Ashanti,Amansie West,112214
Volta,North Tongu,111297
