region,district,urbrur,population
Ashanti,Kumasi Metropolitan Area (KMA),Urban,444163
Greater Accra,Kpone Katamanso Municipal,Urban,390285
Northern,Tamale Metropolitan Area (TMA),Urban,374907
Greater Accra,Ga Central Municipal,Urban,332479
Greater Accra,Accra Metropolitan Area (AMA),Urban,284628
Northern,Sagnarigu Municipal,Urban,278891
Central,Gomoa East,Urban,267635
Greater Accra,Ga South Municipal,Urban,266878
Greater Accra,Ga East Municipal,Urban,265625
Ashanti,Kwabre East,Urban,248550
Greater Accra,Adentan Municipal,Urban,247499
Western,Sekondi Takoradi Metropolitan Area (STMA),Urban,244789
Greater Accra,Ga North Municipal,Urban,235408
Central,Awutu Senya East Municipal,Urban,229737
Greater Accra,Ledzokuku Municipal,Urban,217398
Greater Accra,Ga West Municipal,Urban,217266
Greater Accra,Weija Gbawe Municipal,Urban,213443
Ashanti,Oforikrom Municipal,Urban,213000
Greater Accra,Ashaiman Municipal,Urban,207871
Greater Accra,La Nkwantanang Madina Municipal,Urban,201123
Greater Accra,Tema West Municipal,Urban,196424
Ashanti,Asokore Mampong Municipal,Urban,191696
Central,Cape Coast Metropolitan Area (CCMA),Urban,189845
Bono East,Techiman Municipal,Urban,189122
Greater Accra,Tema Metropolitan Area (TMA),Urban,178138
Western,Effia Kwesimintsim Municipal,Urban,173909
Greater Accra,Ablekuma Central Municipal,Urban,169189
Greater Accra,Ningo-Prampram,Urban,161218
Greater Accra,Okaikoi North Municipal,Urban,160492
Greater Accra,Ablekuma North Municipal,Urban,159191
Bono,Sunyani Municipal,Urban,156102
Ashanti,Kwadaso Municipal,Urban,154471
Greater Accra,Ablekuma West Municipal,Urban,153474
Upper West,Wa Municipal,Urban,143405
Greater Accra,Krowor Municipal,Urban,143188
Greater Accra,La Dade-Kotopon Municipal,Urban,140365
Western,Wassa Amenfi East Municipal,Rural,138436
Ashanti,Suame Municipal,Urban,136414
Volta,Ketu South Municipal,Rural,134884
Ashanti,Atwima Kwanwoma,Urban,133168
Northern,Nanumba North Municipal,Rural,131304
Ashanti,Atwima Mponua,Rural,129942
Western,Tarkwa-Nsuaem Municipal,Urban,129592
Volta,Ho Municipal,Urban,126199
Ashanti,Asokwa Municipal,Urban,125627
Eastern,New Juaben South Municipal,Urban,125308
Ashanti,Afigya Kwabre South,Urban,123058
Upper East,Bawku West,Rural,122569
Volta,Ketu South Municipal,Urban,117695
Northern,Gushegu Municipal,Rural,117504
Western North,Aowin Municipal,Rural,117427
Western,Prestea/Huni Valley Municipal,Urban,115697
Central,Mfantsiman Municipal,Urban,114823
Ashanti,Old Tafo Municipal,Urban,114640
Western,Prestea/Huni Valley Municipal,Rural,113317
Ashanti,Afigya Kwabre South,Rural,111528
Upper East,Bongo,Rural,109063
Northern,Kpandai,Rural,107352
North East,East Mamprusi Municipal,Rural,107196
Ashanti,Atwima Nwabiagya South Municipal,Urban,106266
Central,Assin South,Rural,106064
Central,Agona West Municipal,Urban,104852
Central,Komenda Edina Eguafo Abirem Municipal,Rural,103979
Bono,Sunyani West Municipal,Urban,103719
Ashanti,Atwima Kwanwoma,Rural,101886
Ashanti,Ejisu Municipal,Rural,101625
Savannah,Central Gonja,Rural,100649
Ashanti,Atwima Nwabiagya North,Urban,100548
Central,Effutu Municipal,Urban,99767
Western,Wassa Amenfi Central,Rural,99530
Western North,Bibiani Anhwiaso Bekwai Municipal,Rural,98159
Greater Accra,Ga West Municipal,Rural,97228
Upper West,Wa West,Rural,97042
Oti,Nkwanta South Municipal,Rural,97003
Eastern,Nsawam Adoagyiri Municipal,Urban,96410
Eastern,Kwahu West Municipal,Urban,95119
Central,Awutu Senya,Urban,94810
Greater Accra,Ayawaso Central Municipal,Urban,94575
Eastern,Lower Manya Krobo Municipal,Urban,92204
Northern,Tolon,Rural,92089
North East,West Mamprusi Municipal,Rural,91860
Ashanti,Amansie South,Rural,91764
Ashanti,Obuasi Municipal,Urban,91587
Ashanti,Bosomtwi,Urban,91358
Bono,Berekum East Municipal,Urban,91325
Savannah,Sawla Tuna Kalba,Rural,90219
Ashanti,Asante Akim South Municipal,Rural,90021
Western,Tarkwa-Nsuaem Municipal,Rural,89791
Upper East,Bolgatanga Municipal,Urban,89773
Ashanti,Bekwai Municipal,Rural,89564
Western,Jomoro Municipal,Rural,88199
Western North,Sefwi Wiawso Municipal,Rural,88140
Ashanti,Sekyere South,Urban,87415
Ashanti,Ejura Sekyedumase Municipal,Urban,87275
Western,Ellembelle,Rural,87265
Upper West,Wa East,Rural,85948
Northern,Mion,Rural,85036
Northern,Saboba,Rural,84912
Savannah,East Gonja Municipal,Rural,84910
Western,Wassa East,Rural,84792
Volta,Hohoe Municipal,Urban,84459
Northern,Karaga,Rural,84402
North East,West Mamprusi Municipal,Urban,84180
Northern,Nanumba South,Rural,83950
Greater Accra,Ga South Municipal,Rural,83412
Northern,Kumbungu,Rural,83258
Bono East,Atebubu Amantin Municipal,Urban,82551
Western,Ahanta West Municipal,Rural,82227
Bono East,Kintampo North Municipal,Urban,81804
Ashanti,Amansie Central,Rural,81294
North East,East Mamprusi Municipal,Urban,80707
Upper East,Bawku Municipal,Urban,80449
Northern,Yendi Municipal,Urban,79837
Ahafo,Asunafo North Municipal,Urban,79332
Ashanti,Ejisu Municipal,Urban,79176
Central,Ajumako Enyan Essiam,Rural,78335
Western North,Bia West,Rural,78190
Volta,South Tongu,Rural,77878
Northern,Savelugu Municipal,Urban,77215
Upper East,Binduri,Rural,76836
Upper East,Talensi,Rural,76700
Eastern,New Juaben North Municipal,Urban,76610
Savannah,Bole,Rural,76596
Central,Gomoa West,Rural,76558
Oti,Krachi East Municipal,Rural,76021
Western,Shama,Urban,75723
Western,Wassa Amenfi West Municipal,Rural,75448
Greater Accra,Ayawaso West Municipal,Urban,75260
Eastern,Asuogyaman,Rural,74862
Bono East,Kintampo South,Rural,74752
Northern,Yendi Municipal,Rural,74598
Upper East,Tempane,Rural,74174
Central,Twifo Ati Morkwa,Rural,74098
Eastern,Birim Central Municipal,Urban,73915
Central,Abura Asebu Kwamankese,Rural,73816
Ashanti,Bosomtwi,Rural,73661
Upper West,Jirapa Municipal,Rural,72664
North East,Chereponi,Rural,72651
Upper East,Kasena Nankana West,Rural,72470
Ashanti,Amansie West,Rural,72326
Volta,Central Tongu,Rural,72023
Ashanti,Adansi Asokwa,Rural,71958
Ahafo,Asunafo North Municipal,Rural,71901
Western,Ahanta West Municipal,Urban,71278
Upper East,Kasena Nankana Municipal,Rural,71035
Western,Nzema East Municipal,Rural,71017
Bono,Jaman South,Rural,70914
Bono East,Techiman North,Urban,70101
Eastern,Kwaebibirem Municipal,Rural,70071
Ashanti,Offinso Municipal,Rural,69993
Bono,Jaman North,Urban,69987
Western North,Bibiani Anhwiaso Bekwai Municipal,Urban,69896
Ashanti,Obuasi East,Urban,69351
Greater Accra,Korle Klottey Municipal,Urban,68698
Volta,Ketu North Municipal,Rural,67861
Bono,Dormaa Central Municipal,Rural,67695
Eastern,Upper West Akim,Rural,67657
Ashanti,Offinso Municipal,Urban,67503
Eastern,Ayensuano,Rural,67356
Eastern,West Akim Municipal,Urban,67129
Eastern,Suhum Municipal,Rural,66904
Oti,Nkwanta North (Kpassa),Urban,66865
Ashanti,Adansi South,Rural,66376
Volta,Ho West,Rural,66262
Central,Awutu Senya,Rural,66243
Central,Upper Denkyira West,Rural,65854
Ashanti,Ahafo Ano North Municipal,Rural,65676
