region,district,subdist,population
Greater Accra,Kpone Katamanso Municipal,Kpone Katamanso Municipal,412816
Greater Accra,Ga South Municipal,Ga South Municipal,350290
Northern,Sagnarigu Municipal,Sagnarigu Municipal,341737
Greater Accra,Ga Central Municipal,Ga Central Municipal,332479
Greater Accra,Ga West Municipal,Ga West Municipal,314495
Central,Gomoa East,Gomoa East,308537
Ashanti,Kwabre East,Kwabre East,296300
Greater Accra,Ga East Municipal,Ga East Municipal,283255
Greater Accra,Adentan Municipal,Adentan Municipal,265610
Volta,Ketu South Municipal,Ketu South Municipal,252579
Northern,Tamale Metropolitan Area (TMA),TMA-Tamale South,246851
Bono East,Techiman Municipal,Techiman Municipal,243340
Central,Awutu Senya East Municipal,Awutu Senya East Municipal,236507
Greater Accra,Ga North Municipal,Ga North Municipal,235408
Ashanti,Atwima Kwanwoma,Atwima Kwanwoma,235055
Ashanti,Afigya Kwabre South,Afigya Kwabre South,234587
Western,Prestea/Huni Valley Municipal,Prestea/Huni Valley Municipal,229014
Greater Accra,La Nkwantanang Madina Municipal,La Nkwantanang Madina Municipal,220852
Western,Tarkwa-Nsuaem Municipal,Tarkwa-Nsuaem Municipal,219383
Greater Accra,Ledzokuku Municipal,Ledzokuku Municipal,217398
Greater Accra,Weija Gbawe Municipal,Weija Gbawe Municipal,213443
Ashanti,Oforikrom Municipal,Oforikrom Municipal,213000
Greater Accra,Ashaiman Municipal,Ashaiman Municipal,207871
Greater Accra,Ningo-Prampram,Ningo-Prampram,204534
Upper West,Wa Municipal,Wa Municipal,200887
Greater Accra,Tema West Municipal,Tema West Municipal,196424
Bono,Sunyani Municipal,Sunyani Municipal,193463
Ashanti,Asokore Mampong Municipal,Asokore Mampong Municipal,191696
Northern,Nanumba North Municipal,Nanumba North Municipal,188896
North East,East Mamprusi Municipal,East Mamprusi Municipal,187904
Ashanti,Ejisu Municipal,Ejisu Municipal,180801
Volta,Ho Municipal,Ho Municipal,180193
Western,Wassa Amenfi East Municipal,Wassa Amenfi East Municipal,179834
North East,West Mamprusi Municipal,West Mamprusi Municipal,176040
Western,Effia Kwesimintsim Municipal,Effia Kwesimintsim Municipal,173909
Central,Mfantsiman Municipal,Mfantsiman Municipal,169299
Greater Accra,Ablekuma Central Municipal,Ablekuma Central Municipal,169189
Western North,Bibiani Anhwiaso Bekwai Municipal,Bibiani Anhwiaso Bekwai Municipal,168055
Central,Komenda Edina Eguafo Abirem Municipal,Komenda Edina Eguafo Abirem Municipal,166153
Ashanti,Bosomtwi,Bosomtwi,165019
Ashanti,Atwima Nwabiagya South Municipal,Atwima Nwabiagya South Municipal,161609
Central,Awutu Senya,Awutu Senya,161053
Greater Accra,Okaikoi North Municipal,Okaikoi North Municipal,160492
Greater Accra,Ablekuma North Municipal,Ablekuma North Municipal,159191
Eastern,Nsawam Adoagyiri Municipal,Nsawam Adoagyiri Municipal,155890
Ashanti,Atwima Mponua,Atwima Mponua,155253
Ashanti,Atwima Nwabiagya North,Atwima Nwabiagya North,155241
Ashanti,Kwadaso Municipal,Kwadaso Municipal,154471
Northern,Yendi Municipal,Yendi Municipal,154436
Northern,Gushegu Municipal,Gushegu Municipal,153931
Western,Ahanta West Municipal,Ahanta West Municipal,153505
Greater Accra,Ablekuma West Municipal,Ablekuma West Municipal,153474
Ahafo,Asunafo North Municipal,Asunafo North Municipal,151233
Western North,Sefwi Wiawso Municipal,Sefwi Wiawso Municipal,151040
Eastern,Kwahu West Municipal,Kwahu West Municipal,146064
Bono East,Atebubu Amantin Municipal,Atebubu Amantin Municipal,144849
Upper East,Bawku West,Bawku West,144194
Greater Accra,Krowor Municipal,Krowor Municipal,143188
Savannah,Central Gonja,Central Gonja,142785
Upper East,Bolgatanga Municipal,Bolgatanga Municipal,142559
Western,Sekondi Takoradi Metropolitan Area (STMA),STMA-Essikado-Ketan,140366
Greater Accra,La Dade-Kotopon Municipal,La Dade-Kotopon Municipal,140365
Bono East,Kintampo North Municipal,Kintampo North Municipal,140257
Ashanti,Bekwai Municipal,Bekwai Municipal,138321
Ashanti,Ejura Sekyedumase Municipal,Ejura Sekyedumase Municipal,137767
Ashanti,Offinso Municipal,Offinso Municipal,137496
Ashanti,Suame Municipal,Suame Municipal,136414
Central,Agona West Municipal,Agona West Municipal,136309
Bono,Sunyani West Municipal,Sunyani West Municipal,136042
Oti,Nkwanta South Municipal,Nkwanta South Municipal,135944
Western North,Aowin Municipal,Aowin Municipal,133318
Western,Wassa Amenfi West Municipal,Wassa Amenfi West Municipal,131099
Eastern,New Juaben South Municipal,New Juaben South Municipal,129978
Central,Gomoa West,Gomoa West,129477
Northern,Tamale Metropolitan Area (TMA),TMA-Tamale Central,128055
Central,Asikuma Odoben Brakwa,Asikuma Odoben Brakwa,126891
Eastern,Suhum Municipal,Suhum Municipal,126330
Western,Jomoro Municipal,Jomoro Municipal,126315
Northern,Kpandai,Kpandai,126251
Oti,Nkwanta North (Kpassa),Nkwanta North (Kpassa),126070
Ashanti,Asokwa Municipal,Asokwa Municipal,125627
Bono,Wenchi Municipal,Wenchi Municipal,124729
Central,Abura Asebu Kwamankese,Abura Asebu Kwamankese,124321
Ashanti,Asante Akim South Municipal,Asante Akim South Municipal,123458
Northern,Savelugu Municipal,Savelugu Municipal,122734
Ashanti,Kumasi Metropolitan Area (KMA),KMA-Bantama,122485
Eastern,Yilo Krobo Municipal,Yilo Krobo Municipal,122439
Eastern,Lower Manya Krobo Municipal,Lower Manya Krobo Municipal,122096
Eastern,Kwaebibirem Municipal,Kwaebibirem Municipal,121534
Western,Ellembelle,Ellembelle,121249
Central,Ajumako Enyan Essiam,Ajumako Enyan Essiam,120682
Ashanti,Sekyere South,Sekyere South,119777
Central,Cape Coast Metropolitan Area (CCMA),CCMA-Cape Coast North,119748
Upper East,Bawku Municipal,Bawku Municipal,119449
Eastern,West Akim Municipal,West Akim Municipal,118227
Western,Wassa Amenfi Central,Wassa Amenfi Central,118190
Northern,Tolon,Tolon,117930
Savannah,East Gonja Municipal,East Gonja Municipal,117820
Western,Shama,Shama,117189
Ashanti,Mampong Municipal,Mampong Municipal,116733
Bono,Jaman North,Jaman North,116486
Upper East,Bongo,Bongo,116372
Western North,Bia West,Bia West,115820
Savannah,Bole,Bole,115784
Bono,Tain,Tain,115529
Ashanti,Kumasi Metropolitan Area (KMA),KMA-Nhyiaeso,115283
Volta,Ketu North Municipal,Ketu North Municipal,114972
Ashanti,Old Tafo Municipal,Old Tafo Municipal,114640
Bono East,Nkoranza South Municipal,Nkoranza South Municipal,114524
Volta,Hohoe Municipal,Hohoe Municipal,114473
Northern,Karaga,Karaga,114249
Volta,South Tongu,South Tongu,113377
Ashanti,Amansie South,Amansie South,113023
Savannah,Sawla Tuna Kalba,Sawla Tuna Kalba,112644
Bono,Dormaa Central Municipal,Dormaa Central Municipal,112614
Ashanti,Amansie West,Amansie West,112214
Greater Accra,Tema Metropolitan Area (TMA),TMA-Tema East,111758
Volta,North Tongu,North Tongu,111297
Northern,Kumbungu,Kumbungu,110870
Oti,Krachi East Municipal,Krachi East Municipal,110486
Greater Accra,Accra Metropolitan Area (AMA),AMA-Ablekuma South,110340
Central,Upper Denkyira East Municipal,Upper Denkyira East Municipal,110123
Bono,Jaman South,Jaman South,109801
Central,Effutu Municipal,Effutu Municipal,108698
Bono,Berekum East Municipal,Berekum East Municipal,106416
Northern,Nanumba South,Nanumba South,106380
Central,Assin South,Assin South,106064
Greater Accra,Shai-Osudoku,Shai-Osudoku,105522
Eastern,Akwapim North Municipal,Akwapim North Municipal,105285
Ashanti,Obuasi Municipal,Obuasi Municipal,104425
Bono East,Techiman North,Techiman North,102577
Eastern,Asuogyaman,Asuogyaman,101379
Bono East,Pru East,Pru East,100902
Central,Twifo Ati Morkwa,Twifo Ati Morkwa,100877
Upper East,Kasena Nankana Municipal,Kasena Nankana Municipal,99877
Western,Wassa East,Wassa East,99543
Central,Agona East,Agona East,98733
Upper West,Wa West,Wa West,97042
Eastern,Upper West Akim,Upper West Akim,95981
Northern,Saboba,Saboba,95697
Northern,Mion,Mion,94912
Western,Nzema East Municipal,Nzema East Municipal,94863
Volta,Anloga,Anloga,94619
Greater Accra,Ayawaso Central Municipal,Ayawaso Central Municipal,94575
Eastern,Ayensuano,Ayensuano,94385
Ahafo,Tano North Municipal,Tano North Municipal,93875
Ashanti,Amansie Central,Amansie Central,93415
Ashanti,Ahafo Ano North Municipal,Ahafo Ano North Municipal,92759
Ashanti,Obuasi East,Obuasi East,92318
Volta,Akatsi South Municipal,Akatsi South Municipal,92260
Ashanti,Kumasi Metropolitan Area (KMA),KMA-Manhyia North,91856
Ahafo,Asunafo South,Asunafo South,91627
Upper West,Wa East,Wa East,91567
Ashanti,Asante Akim Central Municipal,Asante Akim Central Municipal,91529
Central,Upper Denkyira West,Upper Denkyira West,91252
Upper West,Jirapa Municipal,Jirapa Municipal,91194
Eastern,Akyemansa,Akyemansa,91017
Upper East,Kasena Nankana West,Kasena Nankana West,90782
Central,Assin Fosu Municipal,Assin Fosu Municipal,89218
Western North,Juaboso,Juaboso,88840
Greater Accra,Accra Metropolitan Area (AMA),AMA-Ashiedu Keteke,88829
Eastern,Abuakwa South Municipal,Abuakwa South Municipal,88762
Eastern,New Juaben North Municipal,New Juaben North Municipal,88520
Bono East,Kintampo South,Kintampo South,88411
Ahafo,Tano South Municipal,Tano South Municipal,87177
Upper East,Talensi,Talensi,87090
North East,Chereponi,Chereponi,87055
Upper East,Tempane,Tempane,86925
Ashanti,Asante Akim North Municipal,Asante Akim North Municipal,85679
Ashanti,Adansi South,Adansi South,85554
Greater Accra,Accra Metropolitan Area (AMA),AMA-Okaikoi South,85459
Ashanti,Offinso North,Offinso North,83643
Volta,Central Tongu,Central Tongu,83273
Volta,Ho West,Ho West,83083
Northern,Zabzugu,Zabzugu,82754
Eastern,Birim North,Birim North,82673
North East,Bunkpurugu Nakpanduri,Bunkpurugu Nakpanduri,82391
Central,Gomoa Central,Gomoa Central,82379
Upper East,Pusiga,Pusiga,80606
Central,Assin North,Assin North,80601
Upper West,Sissala East Municipal,Sissala East Municipal,80593
Eastern,Kwahu East,Kwahu East,80320
Oti,Krachi Nchumuru,Krachi Nchumuru,80014
Eastern,Kwahu South Municipal,Kwahu South Municipal,79700
Volta,Keta Municipal,Keta Municipal,78705
Eastern,Asene Manso Akroso,Asene Manso Akroso,77437
Upper West,Nadowli Kaleo,Nadowli Kaleo,77064
Upper East,Binduri,Binduri,76836
Eastern,Denkyembuor,Denkyembuor,76757
Greater Accra,Ada East,Ada East,76717
Eastern,Akwapim South Municipal,Akwapim South Municipal,76533
Ashanti,Kumasi Metropolitan Area (KMA),KMA-Subin,76249
Eastern,Birim Central Municipal,Birim Central Municipal,76244
Greater Accra,Ada West,Ada West,75978
Eastern,Abuakwa North Municipal,Abuakwa North Municipal,75871
Greater Accra,Ayawaso West Municipal,Ayawaso West Municipal,75260
Ashanti,Sekyere East,Sekyere East,74747
Northern,Tatale Sanguli,Tatale Sanguli,74694
Eastern,Kwahu Afram Plains South,Kwahu Afram Plains South,74256
Oti,Kadjebi,Kadjebi,73769
Ahafo,Asutifi North,Asutifi North,73547
Ashanti,Afigya Kwabre North,Afigya Kwabre North,73180
Volta,Afadzato South,Afadzato South,73162
Ashanti,Sekyere Central,Sekyere Central,72896
Bono East,Sene East,Sene East,72203
Ashanti,Adansi Asokwa,Adansi Asokwa,71958
Upper East,Garu,Garu,71715
Oti,Biakoye,Biakoye,71629
Eastern,Upper Manya Krobo,Upper Manya Krobo,70500
Bono East,Sene West,Sene West,70153
Central,Cape Coast Metropolitan Area (CCMA),CCMA-Cape Coast South,70097
Bono East,Pru West,Pru West,69812
Greater Accra,Korle Klottey Municipal,Korle Klottey Municipal,68698
North East,Mamprugu Moagduri,Mamprugu Moagduri,68690
Bono,Dormaa East,Dormaa East,68110
Ahafo,Asutifi South,Asutifi South,67382
Western North,Sefwi Akontombra,Sefwi Akontombra,66767
Eastern,Kwahu Afram Plains North,Kwahu Afram Plains North,66402
Greater Accra,Tema Metropolitan Area (TMA),TMA-Tema Central,66380
Central,Twifo Heman Lower Denkyira,Twifo Heman Lower Denkyira,66166
Western North,Bodi,Bodi,65844
Ashanti,Ahafo Ano South West,Ahafo Ano South West,65378
Eastern,Atiwa East,Atiwa East,64615
Ashanti,Sekyere Kumawu,Sekyere Kumawu,64310
Ashanti,Juaben Municipal,Juaben Municipal,63977
Upper West,Sissala West,Sissala West,63814
Ashanti,Ahafo Ano South East,Ahafo Ano South East,63404
Savannah,West Gonja,West Gonja,63343
Greater Accra,Ayawaso North Municipal,Ayawaso North Municipal,62985
Ashanti,Bosome Freho,Bosome Freho,62224
Savannah,North Gonja,North Gonja,61547
Oti,Krachi West Municipal,Krachi West Municipal,61503
Eastern,Atiwa West,Atiwa West,61283
Oti,Jasikan Municipal,Jasikan Municipal,59737
Volta,Kpando Municipal,Kpando Municipal,58470
Upper West,Lawra Municipal,Lawra Municipal,58428
Volta,South Dayi,South Dayi,57518
Eastern,Fanteakwa North,Fanteakwa North,56953
North East,Yunyoo Nasuan,Yunyoo Nasuan,56931
Central,Ekumfi,Ekumfi,56759
Upper East,Builsa North Municipal,Builsa North Municipal,56490
Bono East,Nkoranza North,Nkoranza North,56457
Eastern,Achiase,Achiase,56322
Eastern,Fanteakwa South,Fanteakwa South,54961
Western,Sekondi Takoradi Metropolitan Area (STMA),STMA-Sekondi,54523
Ashanti,Adansi North,Adansi North,54253
Western North,Bia East,Bia East,53132
Upper East,Nabdam,Nabdam,53040
Greater Accra,Ayawaso East Municipal,Ayawaso East Municipal,52780
Western,Mpohor,Mpohor,51829
Eastern,Okere,Okere,51605
Upper West,Nandom,Nandom,51210
Upper West,Lambussie Karni,Lambussie Karni,51129
Northern,Nanton,Nanton,50771
Western,Sekondi Takoradi Metropolitan Area (STMA),STMA-Takoradi,49901
Bono,Berekum West,Berekum West,49564
Ashanti,Akrofuom,Akrofuom,49185
Bono,Dormaa West,Dormaa West,47937
Volta,Agortime-Ziope,Agortime-Ziope,40127
Volta,North Dayi,North Dayi,39642
Savannah,North East Gonja,North East Gonja,39480
Upper East,Bolgatanga East,Bolgatanga East,38824
Volta,Adaklu,Adaklu,38752
Upper West,Daffiama Bussie Issa,Daffiama Bussie Issa,38750
Ashanti,Kumasi Metropolitan Area (KMA),KMA-Manhyia South,38290
Western North,Suaman,Suaman,38268
Upper East,Builsa South,Builsa South,36656
Eastern,Birim South,Birim South,35522
Ashanti,Sekyere Afram Plains,Sekyere Afram Plains,33173
Volta,Akatsi North,Akatsi North,32725
Oti,Guan,Guan,28268
Bono,Banda,Banda,28103
