mmda_clean,region_clean,total,Clinic Pharmacy,Hospital Pharmacy,Importing Wholesale,Manufacturing Wholesale,Retail,Wholesale,Wholesale/Retail,rank
AMA,Greater Accra,628,0,3,18,9,347,121,130,1
KMA,Ashanti,471,0,0,3,6,305,71,86,2
ADENTAN,Greater Accra,203,0,0,1,0,166,15,21,3
TMA,Greater Accra,199,0,0,2,2,156,20,19,4
GA EAST,Greater Accra,160,0,0,0,0,117,12,31,5
GA SOUTH,Greater Accra,156,0,0,0,0,124,10,22,6
GA WEST,Greater Accra,155,0,0,1,1,108,9,36,7
SEKONDI-TAKORADI,Western,98,0,0,0,0,48,18,32,8
LA NKWANTANANG-MADINA,Greater Accra,90,1,0,0,0,69,12,8,9
GA CENTRAL,Greater Accra,89,0,0,0,0,66,12,11,10
LEDZOKUKU-KROWOR,Greater Accra,85,0,0,0,0,71,5,9,11
TAMALE,Northern,63,0,0,0,0,31,15,17,12
ASHIAMAN,Greater Accra,50,0,0,0,0,28,10,12,13
SUNYANI,Brong Ahafo,48,0,0,0,0,20,7,21,14
NEW-JUABENG,Eastern,45,0,0,0,2,21,9,13,15
NINGO PRAMPRAM,Greater Accra,42,0,0,0,1,34,2,5,16
AWUTU SENYA EAST,Central,40,0,0,0,0,21,6,13,17
EJISU-JUABENG,Ashanti,39,0,0,0,2,20,3,14,18
HO,Volta,37,0,0,0,0,18,5,14,19
CAPE COAST,Central,36,0,0,0,0,21,3,12,20
AWUTU SENYA,Central,36,0,0,0,0,14,3,19,21
KPONE KATAMANSO,Greater Accra,34,0,0,0,0,27,2,5,22
TARKWA-NSUAEM,Western,31,0,0,0,0,12,4,15,23
KWABERE EAST,Ashanti,31,0,0,0,0,23,0,8,24
OBUASI,Ashanti,29,0,0,0,0,17,2,10,25
ATWIMA NWABIAGYA,Ashanti,28,0,0,0,0,23,0,5,26
TECHIMAN,Brong Ahafo,24,0,0,0,0,7,3,14,27
ATWIMA KWANWOMA,Ashanti,24,0,0,0,0,14,0,10,28
AFIGYA-KWABRE,Ashanti,21,0,0,0,0,16,0,5,29
BOSOMTWE,Ashanti,21,0,0,0,0,17,0,4,30
LA DEDE-KOTOPON,Greater Accra,21,0,0,0,1,12,3,5,31
BOLGATANGA,Upper East,21,0,0,0,0,11,1,9,32
SHAI-OSUDOKU,Greater Accra,20,0,0,0,0,12,1,7,33
SAGNERIGU,Northern,18,0,0,0,0,13,1,4,34
WA,Upper West,17,0,0,0,0,6,1,10,35
GOMOA EAST,Central,16,0,0,0,0,10,0,6,36
KETU SOUTH,Volta,15,0,0,0,0,4,2,9,37
NSAWAM ADOAGYIRI,Eastern,15,0,0,0,0,7,0,8,38
PRESTEA HUNI VALLEY,Western,14,0,0,0,0,6,1,7,39
KWAHU WEST,Eastern,12,0,0,0,0,6,1,5,40
AGONA WEST,Central,12,0,0,0,0,7,1,4,41
BIBIANI-ANHWIASO BEKWAI,Western,11,0,0,0,0,0,0,11,42
WENCHI,Brong Ahafo,10,0,0,0,0,8,0,2,43
EFFUTU,Central,10,0,0,0,0,5,0,5,44
HOHOE,Volta,10,0,0,0,0,8,1,1,45
MFANTSEMAN,Central,10,0,0,0,0,4,1,5,46
BEKWAI,Ashanti,9,0,0,0,0,3,1,5,47
ASUNAFO NORTH,Brong Ahafo,9,0,0,0,0,4,0,5,48
OFFINSO,Ashanti,9,0,0,0,0,6,0,3,49
YILOKROBO,Eastern,9,0,0,0,0,5,0,4,50
DORMAA CENTRAL,Brong Ahafo,9,0,0,0,0,5,0,4,51
AKWAPIM NORTH,Eastern,9,0,0,0,0,6,0,3,52
EAST AKIM,Eastern,8,0,0,0,0,5,0,3,53
ADANSI NORTH,Ashanti,8,0,0,0,0,4,0,4,54
ASUOGYAMAN,Eastern,8,0,0,0,0,4,1,3,55
SUNYANI WEST,Brong Ahafo,8,0,0,0,0,4,0,4,56
SEFWI WIAWSO,Western,8,0,0,0,0,0,1,7,57
UPPER DENKYIRA-EAST,Central,8,0,0,0,0,1,0,7,58
SUHUM,Eastern,8,0,0,0,0,3,3,2,59
JOMORO,Western,7,0,0,0,0,1,0,6,60
AHANTA WEST,Western,7,0,0,0,0,4,0,3,61
ASANTE AKIM NORTH,Ashanti,7,0,0,0,0,2,0,5,62
BEREKUM,Brong Ahafo,7,0,0,0,0,4,0,3,63
KINTAMPO NORTH,Brong Ahafo,7,0,0,0,0,1,0,6,64
KOMENDA-EDINA EGUAFO-AB,Central,6,0,0,0,0,2,1,3,65
ASANTE AKIM CENTRAL,Ashanti,6,0,0,0,0,5,0,1,66
ATIWA,Eastern,6,0,0,0,0,4,0,2,67
ASOKORE MAMPONG,Ashanti,6,0,0,0,0,5,0,1,68
ASANTE-AKIM SOUTH,Ashanti,6,0,0,0,0,3,0,3,69
TANO NORTH,Brong Ahafo,6,0,0,0,0,2,1,3,70
WEST AKIM,Eastern,6,0,0,0,0,2,1,3,71
FANTEAKWAH,Eastern,6,0,0,0,0,2,0,4,72
MAMPONG,Ashanti,6,0,0,0,0,3,1,2,73
SHAMA,Western,6,0,0,0,0,4,0,2,74
ADA EAST,Greater Accra,5,0,0,1,0,1,1,2,75
UPPER DENKYIRA-WEST,Central,5,0,0,0,0,2,0,3,76
WASSA EAST,Western,5,0,0,0,0,2,0,3,77
SOUTH TONGU,Volta,5,0,0,0,0,2,1,2,78
WASSA AMENFI WEST,Western,5,0,0,0,0,0,0,5,79
LOWER MANYA KROBO,Eastern,5,0,0,0,0,3,0,2,80
KPANDO,Volta,5,0,0,0,0,2,0,3,81
BIRIM CENTRAL,Eastern,5,0,0,0,0,2,0,3,82
BIRIM NORTH,Eastern,5,0,0,0,0,4,0,1,83
ASSIN NORTH,Central,5,0,0,0,0,2,0,3,84
ADA WEST,Greater Accra,5,0,0,0,0,4,0,1,85
AKWAPIM SOUTH,Eastern,4,0,0,0,0,2,0,2,86
AMENFI EAST,Western,4,0,0,0,0,3,0,1,87
NORTH TONGU,Volta,4,0,0,0,0,0,0,4,88
SEKYERE EAST,Ashanti,4,0,0,0,0,1,0,3,89
NKWANTA NORTH,Volta,4,0,0,0,0,1,0,3,90
PRU,Brong Ahafo,4,0,0,0,0,2,0,2,91
KETU NORTH,Volta,4,0,0,0,0,2,0,2,92
KASSENA-NANKANA,Upper East,4,0,0,0,0,0,0,4,93
AHAFO-ANO NORTH,Ashanti,4,0,0,0,0,0,0,4,94
AMANSIE CENTRAL,Ashanti,4,0,0,0,0,4,0,0,95
AMANSIE WEST,Ashanti,4,0,0,0,0,2,0,2,96
ASUTIFI NORTH,Brong Ahafo,4,0,0,0,0,2,0,2,97
KETA,Volta,4,0,0,0,0,3,0,1,98
KRACHI EAST,Volta,4,0,0,0,0,2,0,2,99
KWAEBIBIREM,Eastern,4,0,0,0,0,2,0,2,100
ELLEMBELLE,Western,4,0,0,0,0,1,0,3,101
EJURA-SEKYIDUMASE,Ashanti,4,0,0,0,0,2,0,2,102
WEST MAMPRUSI,Northern,3,0,0,0,0,1,1,1,103
AKATSI SOUTH,Volta,3,0,0,0,0,1,0,2,104
AHAFO-ANO SOUTH,Ashanti,3,0,0,0,0,1,0,2,105
ASUTIFI SOUTH,Brong Ahafo,3,0,0,0,0,1,0,2,106
ATEBUBU-AMANTIM,Brong Ahafo,3,0,0,0,0,2,0,1,107
BIRIM SOUTH,Eastern,3,0,0,0,0,0,0,3,108
AJUMAKO-ENYAN-ESSIAM,Central,3,0,0,0,0,1,0,2,109
TWIFO HEMANG LOWER DENK,Central,3,0,0,0,0,1,0,2,110
WASSA AMENFI CENTRAL,Western,3,0,0,0,0,0,0,3,111
NKORANZA SOUTH,Brong Ahafo,3,0,0,0,0,2,0,1,112
NKWANTA SOUTH,Volta,3,0,0,0,0,1,0,2,113
DORMAA EAST,Brong Ahafo,3,0,0,0,0,3,0,0,114
JIRAPA,Upper West,3,0,0,0,0,1,0,2,115
YENDI,Northern,3,0,0,0,0,3,0,0,116
TECHIMAN SOUTH,Brong Ahafo,3,0,0,0,0,1,0,2,117
SOUTH DAYI,Volta,3,0,0,0,0,2,0,1,118
BAWKU,Upper East,3,0,0,0,0,1,0,2,119
KADJEBI,Volta,3,0,0,0,0,1,0,2,120
DENKYEMBOUR,Eastern,3,0,0,0,0,0,0,3,121
OFFINSO NORTH,Ashanti,3,0,0,0,0,3,0,0,122
KRACHI WEST,Volta,2,0,0,0,0,1,1,0,123
JAMAN NORTH,Brong Ahafo,2,0,0,0,0,1,0,1,124
ATWIMA MPONUA,Ashanti,2,0,0,0,0,0,0,2,125
BIA EAST,Western,2,0,0,0,0,1,0,1,126
GOMOA WEST,Central,2,0,0,0,0,0,1,1,127
ASSIN SOUTH,Central,2,0,0,0,0,1,0,1,128
AGOTIME ZIOPE,Volta,2,0,0,0,0,1,0,1,129
ABURA-ASEBU-KWAMANKESE,Central,2,0,0,0,0,0,0,2,130
ADANSI SOUTH,Ashanti,2,0,0,0,0,0,0,2,131
AFADZATO-SOUTH,Volta,2,0,0,0,0,2,0,0,132
BAWKU WEST,Upper East,2,0,0,0,0,0,0,2,133
AGONA EAST,Central,2,0,0,0,0,1,1,0,134
ASIKUMA-ODOBEN BRAKWA,Central,2,0,0,0,0,1,0,1,135
NORTH DAYI,Volta,2,0,0,0,0,1,0,1,136
TANO SOUTH,Brong Ahafo,2,0,0,0,0,0,0,2,137
WEST GONJA,Northern,2,0,0,0,0,1,0,1,138
SENE EAST,Brong Ahafo,2,0,0,0,0,1,0,1,139
SEKYERE SOUTH,Ashanti,2,0,0,0,0,1,0,1,140
CENTRAL GONJA,Northern,2,0,0,0,0,1,0,1,141
DORMA WEST,Brong Ahafo,2,0,0,0,0,1,0,1,142
BOLE-BAMBOI,Northern,2,0,0,0,0,1,0,1,143
JASIKAN,Volta,2,0,0,0,0,2,0,0,144
KWAHU SOUTH,Eastern,2,0,0,0,0,2,0,0,145
KWAHU AFRAM PLAINS SOUTH,Eastern,2,0,0,0,0,2,0,0,146
LAWRA,Upper West,2,0,0,0,0,2,0,0,147
SEKYERE AFRAM PLAINS,Ashanti,2,0,0,0,0,2,0,0,148
AKYEMANSA,Eastern,1,0,0,0,0,1,0,0,149
AOWIN,Western,1,0,0,0,0,0,0,1,150
ASUNAFO SOUTH,Brong Ahafo,1,0,0,0,0,1,0,0,151
BIA WEST,Western,1,0,0,0,0,1,0,0,152
BIAKOYE,Volta,1,0,0,0,0,1,0,0,153
KWAHU AFRAM PLAINS NORTH,Eastern,1,0,0,0,0,0,0,1,154
KUMBUGU,Northern,1,0,0,0,0,1,0,0,155
KINTAMPO SOUTH,Brong Ahafo,1,0,0,0,0,0,0,1,156
JUABESO,Western,1,0,0,0,0,0,0,1,157
KWAHU EAST,Eastern,1,0,0,0,0,0,0,1,158
KPANDAI,Northern,1,0,0,0,0,0,0,1,159
EAST MAMPRUSI,Northern,1,0,0,0,0,0,0,1,160
EAST GONJA,Northern,1,0,0,0,0,1,0,0,161
BUNKPURUGU-YONYOO,Northern,1,0,0,0,0,1,0,0,162
CENTRAL TONGU,Volta,1,0,0,0,0,0,0,1,163
BONGO,Upper East,1,0,0,0,0,0,0,1,164
GUSHIEGU,Northern,1,0,0,0,0,0,0,1,165
HO WEST,Volta,1,0,0,0,0,1,0,0,166
JAMAN SOUTH,Brong Ahafo,1,0,0,0,0,0,0,1,167
SENE WEST,Brong Ahafo,1,0,0,0,0,0,0,1,168
SEKYERE CENTRAL,Ashanti,1,0,0,0,0,1,0,0,169
SAWLA TUNA KALBA,Northern,1,0,0,0,0,1,0,0,170
SAVELUGU-NANTONG,Northern,1,0,0,0,0,0,0,1,171
NANUMBA NORTH,Northern,1,0,0,0,0,1,0,0,172
NABDAM,Upper East,1,0,0,0,0,1,0,0,173
NADOWLI-KALEO,Upper West,1,0,0,0,0,1,0,0,174
NZEMA EAST,Western,1,0,0,0,0,1,0,0,175
NANDOM,Upper West,1,0,0,0,0,1,0,0,176
