chain,pop_controlled,mmda_dominated
Scab Pharmacy Limited,530667.2208333333,13
EASTERN CORRIDOR PHARMACY,188896.0,1
CHANTIWUNI CHEMIST,187904.0,1
BOIPADS PHARMACY LTD.,153931.0,1
EXCORA PHARMACY,148595.72727272726,2
MANSCO PHARMACY LTD.,126251.0,1
ALMA CHEMIST,122734.0,1
SMART PHARMACY,117930.0,1
MUROUKI HASSINI PHARMACY LI,117820.0,1
BONGO EXPRESS PHARMACY PHA,116372.0,1
VENA CAVA PHARMACY LIMITED,115820.0,1
MUNDRA PHARMACY GHANA LIM,112644.0,1
KELISA PHARMACY LTD,110870.0,1
KAT 1 PHARMACY LTD,102577.0,1
REVAG PHARMACY LTD,94863.0,1
GEOMAT PHARMACY (KUKUOM B,91627.0,1
SABDEF PHARMACY LTD,91017.0,1
FORSBOAT PHARMACY LTD.,88840.0,1
ALEXIS PHARMACY LTD.,88411.0,1
GITHER PHARMACY LIMITED,87090.0,1
