chain,outlets,total_pop_served,mmda_count,regions,pop_per_outlet,avg_mmda_pop
Scab Pharmacy Limited,32,635459.0464323628,19,2,19858.095201011336,33445.212970124354
EASTERN CORRIDOR PHARMACY,1,188896.0,1,1,188896.0,188896.0
CHANTIWUNI CHEMIST,1,187904.0,1,1,187904.0,187904.0
BOIPADS PHARMACY LTD.,1,153931.0,1,1,153931.0,153931.0
EXCORA PHARMACY,2,148595.72727272726,2,1,74297.86363636363,74297.86363636363
MANSCO PHARMACY LTD.,1,126251.0,1,1,126251.0,126251.0
ALMA CHEMIST,1,122734.0,1,1,122734.0,122734.0
SMART PHARMACY,1,117930.0,1,1,117930.0,117930.0
MUROUKI HASSINI PHARMACY LI,1,117820.0,1,1,117820.0,117820.0
BONGO EXPRESS PHARMACY PHA,1,116372.0,1,1,116372.0,116372.0
VENA CAVA PHARMACY LIMITED,1,115820.0,1,1,115820.0,115820.0
MUNDRA PHARMACY GHANA LIM,1,112644.0,1,1,112644.0,112644.0
KELISA PHARMACY LTD,1,110870.0,1,1,110870.0,110870.0
HAFMAN PHARMACY,2,103064.0,2,1,51532.0,51532.0
KAT 1 PHARMACY LTD,1,102577.0,1,1,102577.0,102577.0
Ernest Chemists Limited,62,100102.85889063898,16,8,1614.5622401715964,6256.428680664936
REVAG PHARMACY LTD,1,94863.0,1,1,94863.0,94863.0
GEOMAT PHARMACY (KUKUOM B,1,91627.0,1,1,91627.0,91627.0
SABDEF PHARMACY LTD,1,91017.0,1,1,91017.0,91017.0
FORSBOAT PHARMACY LTD.,1,88840.0,1,1,88840.0,88840.0
ALEXIS PHARMACY LTD.,1,88411.0,1,1,88411.0,88411.0
STRAMARK PHARMACY LTD,2,87953.08108108108,2,1,43976.54054054054,43976.54054054054
FLY ZIPLINE GHANA LTD,3,87143.625,3,2,29047.875,29047.875
GITHER PHARMACY LIMITED,1,87090.0,1,1,87090.0,87090.0
FMA PHARMACY LTD.,1,83273.0,1,1,83273.0,83273.0
LAMPHARM PHARMACY LTD,1,82391.0,1,1,82391.0,82391.0
SANKMO PHARMACY,1,80593.0,1,1,80593.0,80593.0
ANTRICO PHARMACY,1,80320.0,1,1,80320.0,80320.0
NEXTO PHARMACY LTD,3,78031.85714285714,2,2,26010.61904761905,39015.92857142857
BOKAT PHARMACY,1,77626.5,1,1,77626.5,77626.5
WELLCITY PHARMACY LTD,1,77626.5,1,1,77626.5,77626.5
MAALYIRI PHARMACY LIMITED,1,77064.0,1,1,77064.0,77064.0
AFRI-J PHARMACY,1,72896.0,1,1,72896.0,72896.0
HAPPY LIFE PHARMACY LIMITED,1,72097.0,1,1,72097.0,72097.0
AWALUGU PHARMACY LTD.,1,72097.0,1,1,72097.0,72097.0
LIKEM PHARMACY,1,71629.0,1,1,71629.0,71629.0
BUIPE PHARMACY LTD,1,71392.5,1,1,71392.5,71392.5
TT PHARMACY LTD,1,70500.0,1,1,70500.0,70500.0
ARKOPHARMA COMPANY LTD.,1,70153.0,1,1,70153.0,70153.0
HEALTHGATE PHARMACEUTICALS,1,66402.0,1,1,66402.0,66402.0
EDZIEBA PHARMACY LTD,1,64738.5,1,1,64738.5,64738.5
REYPAT PHARMACY,1,64738.5,1,1,64738.5,64738.5
Baseline Pharmaceuticals Limited,11,63479.2604244564,9,8,5770.841856768763,7053.251158272933
NKUNIM PHARMACY LTD.,1,63445.5,1,1,63445.5,63445.5
PRAK AND DAUGHTERS PHARMA,1,63445.5,1,1,63445.5,63445.5
Bedita Pharmacy,16,63335.52691086414,8,6,3958.4704319290086,7916.940863858017
ELIKPLIM PHARMACY LTD.,5,62205.15859872611,3,2,12441.031719745222,20735.052866242037
GEOVIKES PHARMACY LTD.,1,62160.5,1,1,62160.5,62160.5
AGIFEL PHARMACY LIMITED,1,62160.5,1,1,62160.5,62160.5
VERDI PHARMACY,5,61441.881081081076,3,1,12288.376216216215,20480.627027027025
JEPHPONG PHARMACY,2,60624.5,1,1,30312.25,60624.5
ANDOF PHARMACY,1,59888.5,1,1,59888.5,59888.5
KAK PHARMACY LTD,1,59888.5,1,1,59888.5,59888.5
ADASTRAF PHARMACY LTD,2,59828.52380952381,2,1,29914.261904761905,29914.261904761905
DOMEDERY PHARMACY,1,58680.0,1,1,58680.0,58680.0
YAMDEN PHARMACY,1,58680.0,1,1,58680.0,58680.0
AWANGA PHARMACY LTD.,1,58243.0,1,1,58243.0,58243.0
MEDCOURT PHARMACY (SAMPA B,1,58243.0,1,1,58243.0,58243.0
ADUANABA PHARMACY LTD.,2,58211.38095238095,2,1,29105.690476190473,29105.690476190473
LIFE ALERT PHARMACY,1,57892.0,1,1,57892.0,57892.0
KYENGBE PHARMACY,1,57892.0,1,1,57892.0,57892.0
ETHICAL PHARMACEUTICALS LTD,2,57429.57142857143,2,1,28714.785714285714,28714.785714285714
MAUPLUS PHARMACY,2,57429.57142857143,2,1,28714.785714285714,28714.785714285714
ANDYFAITH PHARMACY,2,55754.80952380952,2,1,27877.40476190476,27877.40476190476
ASSIN FOSO PHARMACY,1,53032.0,1,1,53032.0,53032.0
ANSTAND CHEMIST LTD,1,53032.0,1,1,53032.0,53032.0
Pharmatrust Pharmacy,17,52048.749708659554,7,3,3061.691159332915,7435.535672665651
ARASS PHARMACY LTD,1,51478.666666666664,1,1,51478.666666666664,51478.666666666664
ALTINATET PHARMACY,1,51210.0,1,1,51210.0,51210.0
DAGBENEVA PHARMACY LTD,2,50816.83333333333,2,1,25408.416666666664,25408.416666666664
FB ULTIMATE PHARMACY,2,49938.5,1,1,24969.25,49938.5
POWER SHOWER PHARM LTD.,1,49366.5,1,1,49366.5,49366.5
CLASSFAM (GH) LTD.,1,49366.5,1,1,49366.5,49366.5
NELCY PHARMACY,2,48357.25,2,1,24178.625,24178.625
DAV-MAKIDA PHARMACY LTD,1,48283.0,1,1,48283.0,48283.0
KWAAPONS PHARMACY,1,48283.0,1,1,48283.0,48283.0
SEBATOS PHARMACY,3,47872.29019607843,3,2,15957.430065359476,15957.430065359476
SUHUM PROVIDENCE PHARMACY,3,47373.75,1,1,15791.25,47373.75
