district,region,population,outlets,wholesale,pharmacies_per_100k,pop_per_pharmacy,hhi
Nanumba North Municipal,Northern,188896.0,1,0,0.5293918346603421,188896.0,10000.0
East Mamprusi Municipal,North East,187904.0,1,1,0.5321866485013623,187904.0,10000.0
Gushegu Municipal,Northern,153931.0,1,1,0.6496417225899916,153931.0,10000.0
Aowin Municipal,Western North,133318.0,1,1,0.7500862599198908,133318.0,10000.0
Kpandai,Northern,126251.0,1,1,0.7920729340757697,126251.0,10000.0
Savelugu Municipal,Northern,122734.0,1,1,0.8147701533397429,122734.0,10000.0
Tolon,Northern,117930.0,1,0,0.8479606546256254,117930.0,10000.0
East Gonja Municipal,Savannah,117820.0,1,0,0.8487523340689187,117820.0,10000.0
Bongo,Upper East,116372.0,1,1,0.8593132368611007,116372.0,10000.0
Bia West,Western North,115820.0,1,0,0.8634087376964255,115820.0,10000.0
Tain,Bono,115529.0,1,0,0.8655835331388656,115529.0,10000.0
Sawla Tuna Kalba,Savannah,112644.0,1,0,0.8877525656049147,112644.0,10000.0
Kumbungu,Northern,110870.0,1,0,0.9019572472264815,110870.0,10000.0
Jaman South,Bono,109801.0,1,1,0.9107385178641361,109801.0,10000.0
Techiman North,Bono East,102577.0,1,0,0.9748774091657973,102577.0,10000.0
Nzema East Municipal,Western,94863.0,1,0,1.0541517767728197,94863.0,10000.0
Asunafo South,Ahafo,91627.0,1,0,1.0913813613891101,91627.0,10000.0
Akyemansa,Eastern,91017.0,1,0,1.0986958480283904,91017.0,10000.0
Juaboso,Western North,88840.0,1,1,1.1256190904997747,88840.0,10000.0
Kintampo South,Bono East,88411.0,1,1,1.131080974086935,88411.0,10000.0
Talensi,Upper East,87090.0,1,0,1.1482374555057986,87090.0,10000.0
Central Tongu,Volta,83273.0,1,1,1.2008694294669342,83273.0,10000.0
Ho West,Volta,83083.0,1,0,1.2036156614469868,83083.0,10000.0
Bunkpurugu Nakpanduri,North East,82391.0,1,0,1.2137248000388392,82391.0,10000.0
Sissala East Municipal,Upper West,80593.0,1,1,1.2408025510900451,80593.0,10000.0
Kwahu East,Eastern,80320.0,1,1,1.245019920318725,80320.0,10000.0
Atwima Mponua,Ashanti,155253.0,2,2,1.2882198733679864,77626.5,5000.0
Nadowli Kaleo,Upper West,77064.0,1,0,1.2976227551126336,77064.0,10000.0
Sekyere Central,Ashanti,72896.0,1,0,1.371817383669886,72896.0,10000.0
Bawku West,Upper East,144194.0,2,2,1.3870202643660623,72097.0,5000.0
Biakoye,Oti,71629.0,1,0,1.3960825922461573,71629.0,10000.0
Central Gonja,Savannah,142785.0,2,1,1.4007073572153939,71392.5,5000.0
Upper Manya Krobo,Eastern,70500.0,1,0,1.4184397163120568,70500.0,10000.0
Sene West,Bono East,70153.0,1,1,1.425455789488689,70153.0,10000.0
Kwahu Afram Plains North,Eastern,66402.0,1,1,1.5059787355802536,66402.0,10000.0
Gomoa West,Central,129477.0,2,2,1.5446758883817204,64738.5,5000.0
Asikuma Odoben Brakwa,Central,126891.0,2,1,1.5761559133429477,63445.5,5000.0
Abura Asebu Kwamankese,Central,124321.0,2,2,1.6087386684470042,62160.5,5000.0
Sekyere South,Ashanti,119777.0,2,1,1.6697696552760546,59888.5,5000.0
West Mamprusi Municipal,North East,176040.0,3,2,1.7041581458759374,58680.0,3333.0
Jaman North,Bono,116486.0,2,1,1.7169445255223803,58243.0,5000.0
Bole,Savannah,115784.0,2,1,1.7273543840254266,57892.0,5000.0
Nabdam,Upper East,53040.0,1,0,1.8853695324283561,53040.0,10000.0
Assin South,Central,106064.0,2,1,1.8856539447880525,53032.0,5000.0
Yendi Municipal,Northern,154436.0,3,0,1.9425522546556502,51478.666666666664,3333.0
Nandom,Upper West,51210.0,1,0,1.9527436047646947,51210.0,10000.0
Agona East,Central,98733.0,2,1,2.025665177802761,49366.5,5000.0
Atebubu Amantin Municipal,Bono East,144849.0,3,1,2.0711223411966944,48283.0,3333.0
