district,region_pharma,outlets,wholesale,population,region,pop_per_pharmacy,pharmacies_per_100k,log_pop_per_pharmacy
Nanumba North Municipal,Northern,1,0,188896.0,Northern,188896.0,0.5293918346603421,5.276222761541101
East Mamprusi Municipal,Northern,1,1,187904.0,North East,187904.0,0.5321866485013623,5.27393602522792
Gushegu Municipal,Northern,1,1,153931.0,Northern,153931.0,0.6496417225899916,5.187326090742365
Aowin Municipal,Western,1,1,133318.0,Western North,133318.0,0.7500862599198908,5.124888789870889
Kpandai,Northern,1,1,126251.0,Northern,126251.0,0.7920729340757697,5.101234826733368
Savelugu Municipal,Northern,1,1,122734.0,Northern,122734.0,0.8147701533397429,5.088964888455951
Tolon,Northern,1,0,117930.0,Northern,117930.0,0.8479606546256254,5.071624298539752
East Gonja Municipal,Northern,1,0,117820.0,Savannah,117820.0,0.8487523340689187,5.071219018399974
Bongo,Upper East,1,1,116372.0,Upper East,116372.0,0.8593132368611007,5.065848498283798
Bia West,Western,1,0,115820.0,Western North,115820.0,0.8634087376964255,5.063783560597355
Tain,Brong Ahafo,1,0,115529.0,Bono,115529.0,0.8655835331388656,5.062691014177142
Sawla Tuna Kalba,Northern,1,0,112644.0,Savannah,112644.0,0.8877525656049147,5.05170806391348
Kumbungu,Northern,1,0,110870.0,Northern,110870.0,0.9019572472264815,5.0448140475286385
Jaman South,Brong Ahafo,1,1,109801.0,Bono,109801.0,0.9107385178641361,5.040606295419212
Techiman North,Brong Ahafo,1,0,102577.0,Bono East,102577.0,0.9748774091657973,5.011049993399087
