region,population,outlets,pharmacies_per_100k,pop_per_pharmacy,pop_weighted_hhi,raw_hhi
Greater Accra,5456055,1942,35.5934828369582,2809.5030895983523,237.13941085517965,414.5
Ashanti,5440672,725,13.325559783791414,7504.375172413793,1690.8076932007507,2322.230769230769
Western,2060711,185,8.977483984896475,11138.978378378379,1957.5749512390646,2448.1666666666665
Central,2859944,200,6.993143921699167,14299.72,2049.1912754953055,2447.0
Bono,1208794,84,6.9490748630453165,14390.404761904761,3865.364845307604,4280.111111111111
Volta,1659227,98,5.90636483133411,16930.88775510204,3295.1463414797495,4101.6
Eastern,2925841,161,5.502691362927788,18172.92546583851,3026.149694091018,3482.1304347826085
Ahafo,564841,25,4.426024314807176,22593.64,3849.8823031614206,4068.8333333333335
Northern,2311149,90,3.894166927359508,25679.433333333334,5305.986419513718,7118.111111111111
Bono East,1203485,46,3.822232931860389,26162.717391304348,4246.523072438583,5296.666666666667
Western North,881084,25,2.837413912861884,35243.36,5838.1290908289275,6737.0
Upper West,901678,25,2.772608403443358,36067.12,5010.72830797174,6486.833333333333
Upper East,1301415,33,2.53570152487869,39436.818181818184,5411.242020191953,6079.857142857143
Oti,747420,15,2.0069037488962027,49828.0,4478.311703321977,4861.0
Savannah,653403,8,1.2243592392443867,81675.375,7086.115254826423,7000.0
North East,659011,5,0.7587126770266354,131802.2,7370.453403833443,7777.666666666667
