Partner_Country,export_usd
switzerland,3121801764.937214
china,2158113870.747658
canada,1987594009.7914724
south africa,1832227986.280121
india,1724391090.241357
netherlands,861716874.339725
united states of america,758551305.1809697
burkina faso,557337009.1716609
italy,550161598.5089315
united kingdom,419920102.27708113
united arab emirates,327313954.21195173
malaysia,317335604.123358
côte d’ivoire,299786264.82348436
spain,278274258.8533843
belgium,261992395.00881857
germany,199226077.6429287
france,193167254.01853818
mali,191319367.25669014
togo,190939181.33623537
russian federation,153177474.0228575
