Partner_Country,import_usd
china,3286288515.872623
united kingdom,2325296025.1521745
netherlands,1368398898.622472
united states of america,1099635452.4465039
india,992732854.6065497
switzerland,698953353.391479
belgium,639421878.5672891
south africa,481262948.6112986
united arab emirates,412108940.6716198
canada,364965922.9161272
türkiye,356723303.5786532
panama,343302936.02005786
viet nam,339386934.1084287
germany,303958701.91914105
spain,289211272.0342787
republic of korea,287409102.3610387
france,275069441.65668654
brazil,269454166.094308
egypt,269172790.82767546
italy,206491272.37350857
