HS2,Description_HS2,imports,exports,net,label
71,"natural/cultured pearls, prec stones & metals, coin etc",1805781.7494169949,6499428191.044056,6497622409.294639,"Natural/Cultured Pearls, Prec Stones &…"
18,cocoa and cocoa preparations,4029915.057505561,2215512114.7133064,2211482199.655801,Cocoa And Cocoa Preparations
27,"mineral fuels, oils & product of their distillation; etc",4783722674.183508,5434357464.848913,650634790.6654053,"Mineral Fuels, Oils & Product Of Their…"
8,edible fruit and nuts; peel of citrus fruit or melons,29457118.47460654,529709305.8248991,500252187.35029256,Edible Fruit And Nuts; Peel Of Citrus …
12,"oil seed, oleagi fruits; miscell grain, seed, fruit etc",83488812.73816456,351413965.2505363,267925152.51237178,"Oil Seed, Oleagi Fruits; Miscell Grain…"
44,wood and articles of wood; wood charcoal,36859142.53856115,128684781.05423374,91825638.5156726,Wood And Articles Of Wood; Wood Charco…
16,"prep of meat, fish or crustaceans, molluscs etc",55536171.85381135,143087095.34500033,87550923.49118897,"Prep Of Meat, Fish Or Crustaceans, Mol…"
76,aluminium and articles thereof,102356558.52314968,188108875.67083487,85752317.14768519,Aluminium And Articles Thereof
78,lead and articles thereof,909071.4751377471,45132184.06858454,44223112.59344679,Lead And Articles Thereof
26,"ores, slag and ash",8728514.470433401,48633204.01005059,39904689.53961719,"Ores, Slag And Ash"
61,"art of apparel & clothing access, knitted or crocheted",15688858.037207084,41758977.994550265,26070119.957343183,"Art Of Apparel & Clothing Access, Knit…"
96,miscellaneous manufactured articles,40062051.11270105,54467373.256164394,14405322.143463343,Miscellaneous Manufactured Articles
74,copper and articles thereof,35077262.305019125,41141172.981877685,6063910.676858559,Copper And Articles Thereof
46,"manufactures of straw, esparto/other plaiting mat; etc",323076.21444601845,2766091.2651851163,2443015.050739098,"Manufactures Of Straw, Esparto/Other P…"
6,"live tree & other plant; bulb, root; cut flowers etc",1171457.338453333,2866369.431852774,1694912.0933994413,"Live Tree & Other Plant; Bulb, Root; C…"
37,photographic or cinematographic goods,1617846.970617498,2240106.4074823833,622259.4368648853,Photographic Or Cinematographic Goods
14,vegetable plaiting materials; vegetable products nes,182845.0634403741,363504.39489376644,180659.33145339234,Vegetable Plaiting Materials; Vegetabl…
43,furskins and artificial fur; manufactures thereof,10237.73644651283,96909.0492666655,86671.31282015267,Furskins And Artificial Fur; Manufactu…
79,zinc and articles thereof,172703.21622813938,219636.161212572,46932.94498443263,Zinc And Articles Thereof
41,raw hides and skins (other than furskins) and leather,454837.39038132655,438075.28110321396,-16762.10927811259,Raw Hides And Skins (Other Than Furski…
