NO,LICENCE_NUMBER,NAME,LOCATION,MMDA,REGION,TYPE
1,PC/AS/R/0261J,10 O'CLOCK PHARMACY,"H/NO. MZ 13 ANTOAKROM STREET TOWN STREET
ANTOAKROM",AMANSIE WEST,Ashanti,Retail
2,PC/GR/R/0558K,18 KADMAT PHARMACY LIMITED,H/NO. GB 12 CP TAXI RANK GBAWE,GA SOUTH,Greater Accra,Retail
3,PC/WR/WR/0328J,180 PLUS PHARMACY LTD,H/NO. 33 KUMASI ROAD GYEDI BIBIANI,BIBIANI-ANHWIASO BEKWAI,Western,Wholesale/Retail
4,PC/WR/WR/0229M,2 CAPSULES PHARMACY,"MANKESSIM WHITE HOUSE, TAKORADI",SEKONDI-TAKORADI,Western,Wholesale/Retail
5,PC/ER/R/0503L,27TH PHARMACY LTD,"H/NO. E43 POST OFFICE ROAD GLORY OIL SERVICE STATION
DONKOKROM",KWAHU AFRAM PLAINS SOUTH,Eastern,Retail
6,PC/AS/R/0103A,2SD PHARMACY,AG-0576-08068 METHODIST HOSPITAL STREET - ABURASO,ATWIMA KWANWOMA,Ashanti,Retail
7,PC/AS/R/0010E,360 PHARMACY LTD.,"PLOT NO. 16,BLOCK IV BUOKROM HIGH STR. BUOKROM
KUMASI",KMA,Ashanti,Retail
8,PC/GR/R/0395K,3A HEALTH PHARMACY LTD.,BLOCK 7 OPPOSITE EDO HOUSE FRIMPONG-WE BUBUASHIE,AMA,Greater Accra,Retail
9,PC/GR/R/0189E,3CARE PHARMACY LTD,"OPP. LA BAWALESHIE PRESBY SCH. - - OKPONGLO-
BAWALESHIE",GA EAST,Greater Accra,Retail
10,PC/CR/W/0078P,3J's PHARMACY,STORE 1 & 2 NEW MARKET ROAD - KASOA,AWUTU SENYA EAST,Central,Wholesale
11,PC/GR/R/0456K,3J'S PHARMACY,H/NO. GL 022 NII TETTEH JAMES STREET RICO LA,LA NKWANTANANG-MADINA,Greater Accra,Retail
12,PC/GR/R/0026E,3KS PHARMACY LTD.,H/NO. 4 ASOFAN HIGH STREET - ACCRA,GA WEST,Greater Accra,Retail
13,PC/GR/R/0226E,3M & C PHARMACY,H/NO. 1 COTTON STREET EAST LEGON LEGON,GA EAST,Greater Accra,Retail
14,PC/GR/R/0454L,4A'S PHARMACY LIMITED,GK-0566-0647 - SANTEO TEMA,TMA,Greater Accra,Retail
15,PC/AS/R/0111D,4TRESS PHARMACY LTD.,"PLOT NO. 87, SOUTH ASHIAM - - ESERESO",BOSOMTWE,Ashanti,Retail
16,PC/ER/WR/0319J,5K PHARMACEUTICALS LIMITED,H/NO. A170 SARFI BAGOBIRI STREET ZONGO ASAMANKESE,WEST AKIM,Eastern,Wholesale/Retail
17,PC/AS/R/0084E,7 DAYS PHARMACY LTD.,"PLOT NO. 17, BLOCK C KRONUM KRONUM",KMA,Ashanti,Retail
18,PC/AS/R/0199E,7 STARS CHEMIST LTD.,"PLOT 3, PFS SUAME-OFFINSO RD. - BREMAN",KMA,Ashanti,Retail
19,PC/AS/R/0372K,72ND PHARMACY LTD,"PLOT C, CHIRAPATRE ESTATE",KMA,Ashanti,Retail
20,PC/AS/R/0093N,77 ELIXERS PHARMACY,"OTN 52, BLOCK 52 - AHENBRONUM KONONGO",ASANTE AKIM CENTRAL,Ashanti,Retail
21,PC/AS/R/0317K,77 ELIXIRS PHARMACY,"PLOT 1, BLOCK 7, AGOGO",ASANTE AKIM NORTH,Ashanti,Retail
